State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
ALABAMA,16018,7599,7506,912,9168322,3963495,4921237,283382
ALASKA,1134,481,510,141,655959,258350,328711,68712
ARIZONA,7579,5129,2240,208,4812023,2695116,1956524,160130
ARKANSAS,12587,7069,4876,642,5969446,3162825,2341452,465169
CALIFORNIA,24558,10346,11047,3125,27650791,8531261,13666027,5369105
COLORADO,8506,4394,3601,510,4658326,2625365,1726715,306246
CONNECTICUT,4191,1485,2319,387,3274521,841662,1951027,481832
DELAWARE,861,320,491,50,937047,357174,513817,66056
DIST. OF COL.,244,52,161,31,528165,44110,376194,107861
FLORIDA,11912,8582,3054,275,15822110,11273893,3993732,553320
GEORGIA,14670,7413,6523,733,8843328,5026603,3532422,284303
HAWAII,1137,380,679,78,1323345,378464,919875,25006
IDAHO,4132,1218,2570,343,1591911,355292,1107233,129350
ILLINOIS,26337,15653,8485,2173,12610043,5833628,5459507,1288009
INDIANA,18548,8101,8604,1843,7703793,3360876,3563632,779285
IOWA,24731,9749,10048,4922,7927386,3608228,3349718,967172
KANSAS,25329,14079,9335,1904,7946923,5449483,2176682,319556
KENTUCKY,13849,5959,6713,1175,5642799,2525642,2720636,395815
LOUISIANA,13361,7186,4658,1494,15402027,8042233,6065414,1243314
MAINE,2393,781,1239,373,1206011,469560,560467,175984
MARYLAND,5195,1808,3020,353,4786394,1228390,3168765,314259
MASSACHUSETTS,5113,1593,2970,545,3988132,1004355,2326405,656830
MICHIGAN,10928,4562,4874,1487,6176132,2139738,3277385,758369
MINNESOTA,13108,8137,3868,1101,6102963,3582032,2220952,297226
MISSISSIPPI,17065,11439,3747,1879,8523994,6244237,1794347,485411
MISSOURI,24245,11812,10115,2317,10068706,4862107,4224450,982062
MONTANA,5119,2061,2802,256,1940070,727342,1112697,100031
NEBRASKA,15376,8194,5280,1881,3841122,2411087,1151337,277343
NEVADA,1753,1119,599,35,1370582,839740,513866,16977
NEW HAMPSHIRE,2409,1250,909,250,1053001,575145,365671,112184
NEW JERSEY,6520,2087,3789,642,6581560,1823390,4157902,599895
NEW MEXICO,3903,1400,2186,316,1652073,643755,880693,127626
NEW YORK,17365,6570,8690,2100,12639165,3601218,7203466,1832908
NORTH CAROLINA,18099,7352,8822,1918,8543213,3559897,4069477,910730
NORTH DAKOTA,4418,2349,1548,521,1192081,717770,406147,68163
OHIO,28033,13201,12075,2687,13202920,5311511,6767455,1064129
OKLAHOMA,23692,9455,10042,4189,8216524,3656273,3394659,1164705
OREGON,7255,3042,3779,433,4769987,1516817,2931709,321120
PENNSYLVANIA,22362,5272,11071,5957,12369020,2935706,7018406,2378586
RHODE ISLAND,757,127,466,163,786550,121091,464385,198841
SOUTH CAROLINA,9252,4427,3763,1062,6564306,3348569,2663389,552348
SOUTH DAKOTA,5891,1872,2959,1060,1659360,420350,1059562,179448
TENNESSEE,19892,9740,9014,1136,9174014,4117516,4502871,553410
TEXAS,51454,27789,22479,1179,41188845,22203255,18200018,784724
UTAH,2911,1745,1049,117,1806777,1123576,637098,46103
VERMONT,2712,1208,1250,254,836168,367389,374974,93806
VIRGINIA,13522,4822,7533,1165,9043518,3267079,5178426,515229
WASHINGTON,7755,3929,3448,374,6783644,2395084,3781596,606550
WEST VIRGINIA,7069,3337,2755,976,3388158,1317148,1747045,323915
WISCONSIN,13982,7587,5336,1037,6334416,3137170,2854802,327230
WYOMING,3060,778,1892,377,1230868,210158,851980,168140
PUERTO RICO,2201,494,1488,219,1981711,551986,1272993,156732
TOTALS,604493,286534,258277,59305,351470253,158764140,161805951,30444638
