ID,Year,State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
1,2009,Alabama,15959,7637,7384,934,9176079,3991613,4892783,290431
2,2009,Alaska,1151,518,496,135,657173,284249,314174,58564
3,2009,Arizona,7494,5274,2030,189,4685761,2826369,1697404,161735
4,2009,Arkansas,12560,7113,4809,638,5927762,3211634,2353584,362545
5,2009,California,24463,10275,10833,3258,27743006,8596833,13556904,5550592
6,2009,Colorado,8476,4454,3487,517,4592276,2593738,1688843,307037
7,2009,Connecticut,4186,1534,2272,380,3264103,860506,1994123,409474
8,2009,Delaware,862,349,476,37,936030,372198,486033,77799
9,2009,Dist. Of Col.,246,70,153,23,529850,71631,391332,66887
10,2009,Florida,11803,8382,3127,291,15552236,11013253,4084364,453320
11,2009,Georgia,14710,7456,6521,731,8782739,4964413,3534960,282910
12,2009,Hawaii,1133,389,659,85,1321814,376003,920392,25420
13,2009,Idaho,4100,1282,2471,338,1582099,369709,1067786,143984
14,2009,Illinois,26263,15625,8323,2293,12517414,5795465,5575381,1129030
15,2009,Indiana,18546,8233,8515,1795,7656118,3495217,3412462,747901
16,2009,Iowa,24799,10040,9876,4871,7885297,3637068,3228054,1017839
17,2009,Kansas,25546,14045,9419,2069,7968545,5412510,2144056,398760
18,2009,Kentucky,13731,6020,6448,1233,5496296,2468417,2511996,486454
19,2009,Louisiana,13328,7092,4760,1467,15202451,7582498,6375988,1241625
20,2009,Maine,2394,796,1237,361,1200744,470771,579907,150066
21,2009,Maryland,5184,1843,2974,353,4796454,1254692,3262880,197873
22,2009,Massachusetts,5038,1554,2905,577,3745746,839116,2300665,605777
23,2009,Michigan,10906,4479,4892,1533,6151207,2095730,3199280,855873
24,2009,Minnesota,13131,8166,3807,1155,6117722,3578003,2203464,333503
25,2009,Mississippi,17038,11273,3746,2016,8354986,6206347,1678010,470239
26,2009,Missouri,24156,11618,10181,2357,9890791,4722960,4218885,948945
27,2009,Montana,4986,2138,2565,259,1915336,794176,1055055,63353
28,2009,Nebraska,15436,8095,5310,2011,3839256,2386219,1148724,302748
29,2009,Nevada,1749,1099,611,39,1338420,796480,523650,18290
30,2009,New Hampshire,2403,1236,921,246,1083163,596452,382063,104648
31,2009,New Jersey,6486,2104,3722,660,6552169,1853492,4063592,635085
32,2009,New Mexico,3890,1379,2146,364,1629462,633702,840922,154780
33,2009,New York,17372,6567,8647,2154,12622307,3556245,7425790,1639092
34,2009,North Carolina,18007,7402,8614,1981,8396170,3446905,3974578,971638
35,2009,North Dakota,4437,2387,1536,513,1187889,720338,381671,85880
36,2009,Ohio,28120,13371,11926,2750,13030929,5217516,6731005,1021989
37,2009,Oklahoma,23716,9421,10133,4148,8134618,3495187,3464446,1162256
38,2009,Oregon,7215,3104,3659,447,4723073,1523978,2852857,345757
39,2009,Pennsylvania,22293,5142,11002,6120,12335465,2880288,6865493,2560841
40,2009,Rhode Island,739,104,472,162,729973,50670,482160,196782
41,2009,South Carolina,9253,4477,3695,1081,6438262,3406040,2477196,555026
42,2009,South Dakota,5920,1871,2966,1083,1674445,446886,1033864,193695
43,2009,Tennessee,19939,9751,9015,1156,9070095,4151851,4391690,525552
44,2009,Texas,51146,27760,22128,1248,40430119,21663766,17940874,822296
45,2009,Utah,2905,1728,1025,149,1775647,1086930,621714,66803
46,2009,Vermont,2707,1102,1240,365,832802,337149,371816,123837
47,2009,Virginia,13530,4939,7454,1134,8891028,3274945,5099981,508785
48,2009,Washington,7662,3846,3418,387,6746520,2290474,3875218,571793
49,2009,West Virginia,7044,3287,2743,1013,3369435,1305442,1734876,329068
50,2009,Wisconsin,13917,7456,5343,1107,6238795,3023560,2875183,338383
51,2009,Wyoming,3054,760,1876,382,1225167,211658,848839,162484
52,2009,Puerto Rico,2181,497,1462,222,1963578,578717,1218052,166809
53,2009,Totals,603310,286540,255430,60817,347908822,156820005,160355021,30402251
1,2010,Alabama,16018,7599,7506,912,9168322,3963495,4921237,283382
2,2010,Alaska,1134,481,510,141,655959,258350,328711,68712
3,2010,Arizona,7579,5129,2240,208,4812023,2695116,1956524,160130
4,2010,Arkansas,12587,7069,4876,642,5969446,3162825,2341452,465169
5,2010,California,24558,10346,11047,3125,27650791,8531261,13666027,5369105
6,2010,Colorado,8506,4394,3601,510,4658326,2625365,1726715,306246
7,2010,Connecticut,4191,1485,2319,387,3274521,841662,1951027,481832
8,2010,Delaware,861,320,491,50,937047,357174,513817,66056
9,2010,Dist. Of Col.,244,52,161,31,528165,44110,376194,107861
10,2010,Florida,11912,8582,3054,275,15822110,11273893,3993732,553320
11,2010,Georgia,14670,7413,6523,733,8843328,5026603,3532422,284303
12,2010,Hawaii,1137,380,679,78,1323345,378464,919875,25006
13,2010,Idaho,4132,1218,2570,343,1591911,355292,1107233,129350
14,2010,Illinois,26337,15653,8485,2173,12610043,5833628,5459507,1288009
15,2010,Indiana,18548,8101,8604,1843,7703793,3360876,3563632,779285
