ID,Year,State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor,Percentage_Good,Percentage_Fair,Percentage_Poor,Area_Percentage_Good,Area_Percentage_Fair,Area_Percentage_Poor,Total_Tunnel ,Tunnel_Condition_Good,Tunnel_Condtion_Fair,Tunnel_Condition_Poor,Tunnel_Condition_Severe,Tunnel_Percentage_Good,Tunnel_Percentage_Fair,Tunnel_Percentage_Poor,Tunnel_Percentage_Severe,Road_Total,Road_Not_Reported,Road_Road_Good_below95,Road_Fair_95to170,Road_Poor_above170,Road_NotReported_Percentage,Road_Good_Percentage,Road_Fair_Percentage,Road_Poor_Percentage
1,2009,ALABAMA,15959,7637,7384,934,9176079,3991613,4892783,290431,0.478538756,0.462685632,0.05852497,0.435002031,0.533210645,0.031650883,,,,,,,,,,,,,,,,,,
2,2009,ALASKA,1151,518,496,135,657173,284249,314174,58564,0.45004344,0.430929626,0.117289314,0.432532986,0.478068941,0.089115043,,,,,,,,,,,,,,,,,,
3,2009,ARIZONA,7494,5274,2030,189,4685761,2826369,1697404,161735,0.70376301,0.270883373,0.025220176,0.603182493,0.362247242,0.034516272,,,,,,,,,,,,,,,,,,
4,2009,ARKANSAS,12560,7113,4809,638,5927762,3211634,2353584,362545,0.566321656,0.382882166,0.050796178,0.541795369,0.397044281,0.061160519,,,,,,,,,,,,,,,,,,
5,2009,CALIFORNIA,24463,10275,10833,3258,27743006,8596833,13556904,5550592,0.420022074,0.442832032,0.133180722,0.309873883,0.488660241,0.200071759,,,,,,,,,,,,,,,,,,
6,2009,COLORADO,8476,4454,3487,517,4592276,2593738,1688843,307037,0.525483719,0.411396885,0.060995753,0.564804467,0.367757295,0.06685944,,,,,,,,,,,,,,,,,,
7,2009,CONNECTICUT,4186,1534,2272,380,3264103,860506,1994123,409474,0.366459627,0.542761586,0.090778786,0.263627098,0.610925268,0.125447634,,,,,,,,,,,,,,,,,,
8,2009,DELAWARE,862,349,476,37,936030,372198,486033,77799,0.40487239,0.552204176,0.042923434,0.397634691,0.519249383,0.083115926,,,,,,,,,,,,,,,,,,
9,2009,DIST. OF COL.,246,70,153,23,529850,71631,391332,66887,0.284552846,0.62195122,0.093495935,0.135191092,0.738571294,0.126237614,,,,,,,,,,,,,,,,,,
10,2009,FLORIDA,11803,8382,3127,291,15552236,11013253,4084364,453320,0.710158434,0.264932644,0.024654749,0.708145954,0.262622301,0.02914822,,,,,,,,,,,,,,,,,,
