State,Year,(R01) Total Revenue,(E001) Total Expenditure,(E065) Total Highways-Dir Exp,(E066) Total Highways-Cur Op,(E067) Total Highways-Cap Out,(E068) Regular Hwy-Direct Exp,(E069) Regular Hwy-Cur Oper (E44),(E070) Regular Hwy-Cap Outlay,(E071) Toll Hwy-Total Expend,(E072) Toll Hwy-Current Oper (E45),(E073) Toll Hwy-Cap Outlay
United States,1977,6219,5974,424,193,231,411,185,226,13,8,5
United States,1978,6290,5870,417,198,218,404,190,214,12,8,5
United States,1979,6087,5741,428,194,234,415,186,229,13,7,6
United States,1980,5911,5683,436,186,250,422,179,244,14,7,7
United States,1981,5955,5724,407,179,227,394,173,221,13,7,6
United States,1982,6006,5752,379,179,199,366,172,194,12,7,5
United States,1983,6246,5965,386,190,196,372,182,191,14,8,6
United States,1984,6523,6005,394,192,203,381,183,197,14,8,6
United States,1985,6894,6299,431,202,229,417,193,223,14,9,6
United States,1986,7296,6682,460,210,250,443,201,242,17,9,8
United States,1987,7515,6920,466,214,253,448,205,243,18,9,9
United States,1988,7493,7007,471,203,268,450,194,256,21,9,12
United States,1989,7639,7135,465,203,262,445,193,252,21,10,11
United States,1990,7754,7332,459,204,254,439,194,244,20,10,10
United States,1991,7689,7564,462,203,259,440,192,248,22,11,11
United States,1992,8105,7879,459,206,253,436,195,241,23,11,12
United States,1993,8294,7921,446,205,241,424,194,230,22,11,12
United States,1994,8370,7947,453,205,248,430,193,237,23,11,12
United States,1995,8565,8163,466,209,257,444,198,246,22,11,11
United States,1996,8778,8105,459,207,252,437,196,241,22,11,11
United States,1997,9055,8181,460,208,252,437,197,240,23,11,12
United States,1998,9381,8337,475,213,262,454,202,252,21,11,10
United States,1999,9460,8573,490,217,274,464,205,259,26,12,14
United States,2000,9799,8813,511,227,285,482,215,267,29,12,18
United States,2001,9184,9224,521,229,292,489,217,273,32,12,19
United States,2002,8558,9719,546,233,313,511,219,292,35,14,21
United States,2003,9401,9938,540,240,301,503,225,279,37,15,22
United States,2004,10787,10045,519,231,288,486,218,268,33,13,20
United States,2005,10739,10059,537,236,300,503,221,282,33,16,18
United States,2006,11174,10197,556,243,313,521,227,294,35,16,19
United States,2007,12038,10454,568,241,327,531,224,306,37,16,21
United States,2008,9812,10631,576,244,332,524,227,297,52,18,34
United States,2009,7816,11151,575,252,323,534,233,301,41,18,22
United States,2010,11556,11321,567,240,327,526,223,303,40,17,24
United States,2011,12033,11050,538,236,302,501,219,282,37,17,20
United States,2012,10268,10733,545,236,309,503,219,284,42,17,25
United States,2013,11310,10590,525,232,292,484,215,269,40,17,23
United States,2014,11875,10615,527,244,283,484,226,258,43,18,25
United States,2015,11008,10967,541,244,297,495,226,269,46,19,28
United States,2016,10754,11096,553,247,306,504,228,276,49,19,30
United States,2017,12105,11267,557,250,308,502,229,274,55,21,34
Alabama,1977,5001,4810,467,179,288,467,179,288,0,0,0
Alabama,1978,5013,4781,460,186,275,460,186,275,0,0,0
Alabama,1979,5020,4750,438,211,227,438,211,227,0,0,0
Alabama,1980,4889,4698,395,192,203,395,192,203,0,0,0
Alabama,1981,5171,4633,427,203,225,427,203,225,0,0,0
Alabama,1982,4946,4820,360,195,165,360,195,165,0,0,0
Alabama,1983,5171,5003,401,203,198,401,203,198,0,0,0
Alabama,1984,5655,4955,409,194,215,409,194,215,0,0,0
Alabama,1985,5809,5368,467,220,247,467,220,247,0,0,0
Alabama,1986,5967,5648,463,227,235,463,227,235,0,0,0
Alabama,1987,5982,5445,384,216,168,384,216,168,0,0,0
Alabama,1988,6340,5579,437,197,241,437,197,241,0,0,0
Alabama,1989,6212,5778,427,211,216,427,211,216,0,0,0
Alabama,1990,6376,5941,405,196,209,405,196,209,0,0,0
Alabama,1991,6443,6216,394,191,203,394,191,203,0,0,0
Alabama,1992,6735,6555,404,199,205,404,199,205,0,0,0
Alabama,1993,6828,6457,426,199,227,426,199,227,0,0,0
Alabama,1994,6851,6685,439,223,216,439,223,216,0,0,0
Alabama,1995,7024,6907,441,221,220,441,221,220,0,0,0
Alabama,1996,7076,6963,414,212,202,414,212,202,0,0,0
Alabama,1997,7409,7060,403,215,188,403,215,188,0,0,0
Alabama,1998,7648,7392,420,223,197,420,223,197,0,0,0
Alabama,1999,7845,7764,415,211,203,415,211,203,0,0,0
Alabama,2000,8225,8095,477,215,262,477,215,262,0,0,0
Alabama,2002,7333,8677,507,187,320,507,187,320,0,0,0
Alabama,2004,9136,8955,459,175,285,459,175,285,0,0,0
Alabama,2005,9167,8721,478,168,310,478,168,310,0,0,0
Alabama,2006,9389,8872,504,198,307,504,198,307,0,0,0
Alabama,2007,10119,9052,497,211,286,497,211,286,0,0,0
Alabama,2008,7472,9134,471,216,255,471,216,255,0,0,0
Alabama,2009,8140,9887,553,250,304,553,250,304,0,0,0
Alabama,2010,9910,9926,498,248,250,496,247,250,1,1,0
Alabama,2011,9397,9624,497,239,258,497,239,258,0,0,0
Alabama,2012,9574,9243,497,228,269,497,228,269,1,0,0
Alabama,2013,9578,9482,506,230,276,506,230,276,0,0,0
Alabama,2014,9257,9264,484,227,256,483,227,256,1,0,1
Alabama,2015,8954,9417,504,232,273,503,231,272,1,0,1
Alabama,2016,9642,9486,508,250,258,507,250,258,1,0,0
Alabama,2017,10244,9988,520,255,265,519,254,265,0,0,0
Florida,1977,4905,4854,331,123,208,314,115,198,17,8,10
Florida,1978,4988,4700,327,114,213,316,106,209,12,8,4
Florida,1979,4919,4582,350,119,231,341,112,229,9,7,2
Florida,1980,4650,4423,363,112,252,356,106,250,7,6,2
Florida,1981,4604,4450,325,108,217,314,102,212,11,5,6
Florida,1982,4674,4780,330,117,214,313,110,203,17,7,10
Florida,1983,4886,4784,315,123,193,300,116,184,15,7,8
Florida,1984,5148,4999,304,118,186,293,111,182,11,6,4
Florida,1985,5687,5258,337,112,225,326,106,220,12,7,5
Florida,1986,5982,5638,364,136,228,343,128,215,21,8,13
Florida,1987,6217,5956,380,146,235,351,138,213,29,8,21
Florida,1988,6366,6125,453,151,302,405,141,265,48,11,37
Florida,1989,6663,6445,440,163,277,398,154,244,42,8,33
Florida,1990,6773,6701,397,152,245,368,146,222,30,6,23
Florida,1991,6676,6962,404,171,233,354,150,204,49,21,29
Florida,1992,6984,6958,432,174,258,366,154,212,66,20,46
Florida,1993,7349,7004,441,173,269,382,154,228,59,19,41
Florida,1994,7482,6856,459,182,276,401,161,240,57,21,36
Florida,1995,7548,7228,481,188,293,422,166,256,59,22,37
Florida,1996,7804,7213,482,183,299,419,162,257,62,21,42
Florida,1997,7661,7172,461,180,281,412,161,251,50,20,30
Florida,1998,8634,7245,461,179,282,410,159,252,51,20,30
Florida,1999,8255,7531,472,183,289,408,161,246,64,22,42
Florida,2000,8196,7478,459,182,277,398,160,238,61,22,39
Florida,2002,7615,8106,549,176,372,457,136,321,92,41,51
Florida,2004,9613,8591,524,176,348,477,155,322,47,21,26
Florida,2005,9531,9205,560,198,362,491,176,316,68,22,46
Florida,2006,10246,9430,604,217,386,527,195,332,77,22,55
Florida,2007,11129,9566,630,196,435,540,168,372,91,28,62
Florida,2008,9132,9749,658,192,466,562,162,400,96,30,65
Florida,2009,7254,9832,602,194,408,522,165,356,80,29,51
Florida,2010,9950,9755,524,182,342,464,157,307,60,25,35
Florida,2011,10285,9307,467,172,295,409,149,260,58,23,35
Florida,2012,8266,8756,440,162,278,387,140,247,53,22,31
Florida,2013,9157,8378,440,157,283,387,136,251,53,21,32
Florida,2014,9373,8305,473,162,311,387,142,245,86,20,66
Florida,2015,8471,8414,488,163,325,427,141,285,62,21,40
Florida,2016,8057,8279,480,165,315,413,142,271,67,23,44
Florida,2017,9173,8419,513,176,337,426,146,280,87,29,58
Georgia,1977,5032,5078,370,155,216,370,155,216,0,0,0
Georgia,1978,5240,4900,455,150,305,455,150,305,0,0,0
Georgia,1979,5289,5022,447,149,298,447,149,298,0,0,0
Georgia,1980,5072,4816,445,139,306,445,139,306,0,0,0
Georgia,1981,5125,4876,367,130,238,367,130,238,0,0,0
