,ID,State,Year,(R01) Total Revenue,(E001) Total Expenditure,(E065) Total Highways-Dir Exp,(E066) Total Highways-Cur Op,(E067) Total Highways-Cap Out,(E068) Regular Hwy-Direct Exp,(E069) Regular Hwy-Cur Oper (E44),(E070) Regular Hwy-Cap Outlay,(E071) Toll Hwy-Total Expend,(E072) Toll Hwy-Current Oper (E45),(E073) Toll Hwy-Cap Outlay,State_Abbreviation
0,1,United States,1977,1366644562,1312783911,93266505,42485760,50780746,90317388,40734171,49583217,2949117,1751589,1197528,US
1,2,United States,1978,1397060275,1303751373,92516739,44026936,48489804,89750496,42298080,47452416,2766243,1728855,1037388,US
2,3,United States,1979,1367037303,1289301287,96022532,43465121,52557412,93130083,41812327,51317756,2892450,1652794,1239656,US
3,4,United States,1980,1343211785,1291262980,99092991,42175481,56917510,95916322,40573137,55343185,3176669,1602344,1574325,US
4,5,United States,1981,1366436974,1313366901,93310461,41174187,52136274,90318331,39588900,50729431,2992130,1585287,1406843,US
5,6,United States,1982,1391260275,1332507307,87685010,41510051,46174959,84876943,39907022,44969921,2808067,1603029,1205038,US
6,7,United States,1983,1460314017,1394582510,90209390,44366944,45842446,86997823,42444384,44553439,3211567,1922560,1289006,US
7,8,United States,1984,1538185344,1416038993,92996553,45178973,47817580,89743662,43254043,46489620,3252891,1924930,1327961,US
8,9,United States,1985,1640349798,1498713152,102487941,48041937,54446004,99112992,45998269,53114723,3374949,2043667,1331282,US
9,10,United States,1986,1752021851,1604591453,110411862,50458270,59953592,106320460,48288667,58031793,4091402,2169603,1921799,US
10,11,United States,1987,1820876346,1676667080,112968737,51791933,61176804,108541844,49590523,58951321,4426893,2201411,2225482,US
11,12,United States,1988,1831908287,1713247300,115247567,49699941,65547626,110067788,47378700,62689088,5179779,2321241,2858538,US
12,13,United States,1989,1885452040,1761035594,114859711,50111520,64748191,109775717,47642810,62132907,5083994,2468710,2615284,US
13,14,United States,1990,1935668796,1830316824,114509355,50994335,63515020,109520647,48492181,61028466,4988708,2502154,2486554,US
14,15,United States,1991,1945234886,1913574565,116866838,51341890,65524947,111384920,48554698,62830222,5481918,2787193,2694725,US
15,16,United States,1992,2079042323,2021028265,117670674,52744280,64926393,111765396,49911626,61853770,5905278,2832654,3072624,US
16,17,United States,1993,2155744485,2058878384,115977497,53246522,62730975,110154194,50437537,59716657,5823303,2808985,3014318,US
17,18,United States,1994,2202262860,2091110487,119198115,53860841,65337274,113181552,50880417,62301135,6016563,2980424,3036139,US
18,19,United States,1995,2280588324,2173651312,124021272,55565904,68455369,118114257,52604571,65509686,5907016,2961333,2945683,US
19,20,United States,1996,2364702337,2183480955,123563503,55677713,67885790,117624481,52685971,64938510,5939022,2991742,2947280,US
20,21,United States,1997,2468755827,2230608806,125327156,56660372,68666784,119057438,53576004,65481435,6269718,3084369,3185349,US
21,22,United States,1998,2587879765,2299778539,131152853,58868912,72283941,125251843,55707855,69543988,5901010,3161057,2739953,US
22,23,United States,1999,2639706138,2392257223,136858160,60488080,76370080,129589768,57250850,72338918,7268392,3237230,4031162,US
23,24,United States,2000,2764828958,2486704961,144247725,63908636,80339089,135993807,60665070,75328737,8253918,3243565,5010352,US
24,25,United States,2001,2617139020,2628573737,148422035,65228483,83193552,139410659,61724052,77686607,9011377,3504431,5506945,US
25,26,United States,2002,2461543809,2795290603,157093007,67141887,89951120,147105377,63096409,84008968,9987630,4045479,5942152,US
26,27,United States,2003,2727408954,2883058996,156791377,69503949,87287428,145974439,65145181,80829258,10816938,4358768,6458170,US
27,28,United States,2004,3158603155,2941241626,152100653,67661941,84438712,142380078,63833900,78546178,9720576,3828041,5892534,US
28,29,United States,2005,3173565178,2972461186,158581694,69860267,88721427,148715963,65271180,83444783,9865731,4589087,5276644,US
