,ID,State,Year,(R01) Total Revenue,(E001) Total Expenditure,(E065) Total Highways-Dir Exp,(E066) Total Highways-Cur Op,(E067) Total Highways-Cap Out,(E068) Regular Hwy-Direct Exp,(E069) Regular Hwy-Cur Oper (E44),(E070) Regular Hwy-Cap Outlay,(E071) Toll Hwy-Total Expend,(E072) Toll Hwy-Current Oper (E45),(E073) Toll Hwy-Cap Outlay,State_Abbreviation
0,1,United States,1977,1.041,1,0.071,0.0324,0.0387,0.0688,0.031,0.0378,0.0022,0.0013,0.0009,US
1,2,United States,1978,1.0716,1,0.071,0.0338,0.0372,0.0688,0.0324,0.0364,0.0021,0.0013,0.0008,US
2,3,United States,1979,1.0603,1,0.0745,0.0337,0.0408,0.0722,0.0324,0.0398,0.0022,0.0013,0.001,US
3,4,United States,1980,1.0402,1,0.0767,0.0327,0.0441,0.0743,0.0314,0.0429,0.0025,0.0012,0.0012,US
4,5,United States,1981,1.0404,1,0.071,0.0314,0.0397,0.0688,0.0301,0.0386,0.0023,0.0012,0.0011,US
5,6,United States,1982,1.0441,1,0.0658,0.0312,0.0347,0.0637,0.0299,0.0337,0.0021,0.0012,0.0009,US
6,7,United States,1983,1.0471,1,0.0647,0.0318,0.0329,0.0624,0.0304,0.0319,0.0023,0.0014,0.0009,US
7,8,United States,1984,1.0863,1,0.0657,0.0319,0.0338,0.0634,0.0305,0.0328,0.0023,0.0014,0.0009,US
8,9,United States,1985,1.0945,1,0.0684,0.0321,0.0363,0.0661,0.0307,0.0354,0.0023,0.0014,0.0009,US
9,10,United States,1986,1.0919,1,0.0688,0.0314,0.0374,0.0663,0.0301,0.0362,0.0025,0.0014,0.0012,US
10,11,United States,1987,1.0859999999999999,1,0.0674,0.0309,0.0365,0.0647,0.0296,0.0352,0.0026,0.0013,0.0013,US
11,12,United States,1988,1.0693,1,0.0673,0.028999999999999998,0.0383,0.0642,0.0277,0.0366,0.003,0.0014,0.0017,US
12,13,United States,1989,1.0706,1,0.0652,0.0285,0.0368,0.0623,0.0271,0.0353,0.0029,0.0014,0.0015,US
13,14,United States,1990,1.0576,1,0.0626,0.0279,0.0347,0.0598,0.0265,0.0333,0.0027,0.0014,0.0014,US
