State,Year,(R01) Total Revenue,(E001) Total Expenditure,(E065) Total Highways-Dir Exp,(E066) Total Highways-Cur Op,(E067) Total Highways-Cap Out,(E068) Regular Hwy-Direct Exp,(E069) Regular Hwy-Cur Oper (E44),(E070) Regular Hwy-Cap Outlay,(E071) Toll Hwy-Total Expend,(E072) Toll Hwy-Current Oper (E45),(E073) Toll Hwy-Cap Outlay
United States,1977,"$6,219 ","$5,974 ",$424 ,$193 ,$231 ,$411 ,$185 ,$226 ,$13 ,$8 ,$5 
United States,1978,"$6,290 ","$5,870 ",$417 ,$198 ,$218 ,$404 ,$190 ,$214 ,$12 ,$8 ,$5 
United States,1979,"$6,087 ","$5,741 ",$428 ,$194 ,$234 ,$415 ,$186 ,$229 ,$13 ,$7 ,$6 
United States,1980,"$5,911 ","$5,683 ",$436 ,$186 ,$250 ,$422 ,$179 ,$244 ,$14 ,$7 ,$7 
United States,1981,"$5,955 ","$5,724 ",$407 ,$179 ,$227 ,$394 ,$173 ,$221 ,$13 ,$7 ,$6 
United States,1982,"$6,006 ","$5,752 ",$379 ,$179 ,$199 ,$366 ,$172 ,$194 ,$12 ,$7 ,$5 
United States,1983,"$6,246 ","$5,965 ",$386 ,$190 ,$196 ,$372 ,$182 ,$191 ,$14 ,$8 ,$6 
United States,1984,"$6,523 ","$6,005 ",$394 ,$192 ,$203 ,$381 ,$183 ,$197 ,$14 ,$8 ,$6 
United States,1985,"$6,894 ","$6,299 ",$431 ,$202 ,$229 ,$417 ,$193 ,$223 ,$14 ,$9 ,$6 
United States,1986,"$7,296 ","$6,682 ",$460 ,$210 ,$250 ,$443 ,$201 ,$242 ,$17 ,$9 ,$8 
United States,1987,"$7,515 ","$6,920 ",$466 ,$214 ,$253 ,$448 ,$205 ,$243 ,$18 ,$9 ,$9 
United States,1988,"$7,493 ","$7,007 ",$471 ,$203 ,$268 ,$450 ,$194 ,$256 ,$21 ,$9 ,$12 
United States,1989,"$7,639 ","$7,135 ",$465 ,$203 ,$262 ,$445 ,$193 ,$252 ,$21 ,$10 ,$11 
United States,1990,"$7,754 ","$7,332 ",$459 ,$204 ,$254 ,$439 ,$194 ,$244 ,$20 ,$10 ,$10 
United States,1991,"$7,689 ","$7,564 ",$462 ,$203 ,$259 ,$440 ,$192 ,$248 ,$22 ,$11 ,$11 
United States,1992,"$8,105 ","$7,879 ",$459 ,$206 ,$253 ,$436 ,$195 ,$241 ,$23 ,$11 ,$12 
United States,1993,"$8,294 ","$7,921 ",$446 ,$205 ,$241 ,$424 ,$194 ,$230 ,$22 ,$11 ,$12 
United States,1994,"$8,370 ","$7,947 ",$453 ,$205 ,$248 ,$430 ,$193 ,$237 ,$23 ,$11 ,$12 
United States,1995,"$8,565 ","$8,163 ",$466 ,$209 ,$257 ,$444 ,$198 ,$246 ,$22 ,$11 ,$11 
United States,1996,"$8,778 ","$8,105 ",$459 ,$207 ,$252 ,$437 ,$196 ,$241 ,$22 ,$11 ,$11 
United States,1997,"$9,055 ","$8,181 ",$460 ,$208 ,$252 ,$437 ,$197 ,$240 ,$23 ,$11 ,$12 
United States,1998,"$9,381 ","$8,337 ",$475 ,$213 ,$262 ,$454 ,$202 ,$252 ,$21 ,$11 ,$10 
United States,1999,"$9,460 ","$8,573 ",$490 ,$217 ,$274 ,$464 ,$205 ,$259 ,$26 ,$12 ,$14 
United States,2000,"$9,799 ","$8,813 ",$511 ,$227 ,$285 ,$482 ,$215 ,$267 ,$29 ,$12 ,$18 
United States,2001,"$9,184 ","$9,224 ",$521 ,$229 ,$292 ,$489 ,$217 ,$273 ,$32 ,$12 ,$19 
United States,2002,"$8,558 ","$9,719 ",$546 ,$233 ,$313 ,$511 ,$219 ,$292 ,$35 ,$14 ,$21 
United States,2003,"$9,401 ","$9,938 ",$540 ,$240 ,$301 ,$503 ,$225 ,$279 ,$37 ,$15 ,$22 
United States,2004,"$10,787 ","$10,045 ",$519 ,$231 ,$288 ,$486 ,$218 ,$268 ,$33 ,$13 ,$20 
United States,2005,"$10,739 ","$10,059 ",$537 ,$236 ,$300 ,$503 ,$221 ,$282 ,$33 ,$16 ,$18 
United States,2006,"$11,174 ","$10,197 ",$556 ,$243 ,$313 ,$521 ,$227 ,$294 ,$35 ,$16 ,$19 
United States,2007,"$12,038 ","$10,454 ",$568 ,$241 ,$327 ,$531 ,$224 ,$306 ,$37 ,$16 ,$21 
United States,2008,"$9,812 ","$10,631 ",$576 ,$244 ,$332 ,$524 ,$227 ,$297 ,$52 ,$18 ,$34 
United States,2009,"$7,816 ","$11,151 ",$575 ,$252 ,$323 ,$534 ,$233 ,$301 ,$41 ,$18 ,$22 
United States,2010,"$11,556 ","$11,321 ",$567 ,$240 ,$327 ,$526 ,$223 ,$303 ,$40 ,$17 ,$24 
United States,2011,"$12,033 ","$11,050 ",$538 ,$236 ,$302 ,$501 ,$219 ,$282 ,$37 ,$17 ,$20 
United States,2012,"$10,268 ","$10,733 ",$545 ,$236 ,$309 ,$503 ,$219 ,$284 ,$42 ,$17 ,$25 
United States,2013,"$11,310 ","$10,590 ",$525 ,$232 ,$292 ,$484 ,$215 ,$269 ,$40 ,$17 ,$23 
United States,2014,"$11,875 ","$10,615 ",$527 ,$244 ,$283 ,$484 ,$226 ,$258 ,$43 ,$18 ,$25 
United States,2015,"$11,008 ","$10,967 ",$541 ,$244 ,$297 ,$495 ,$226 ,$269 ,$46 ,$19 ,$28 
United States,2016,"$10,754 ","$11,096 ",$553 ,$247 ,$306 ,$504 ,$228 ,$276 ,$49 ,$19 ,$30 
United States,2017,"$12,105 ","$11,267 ",$557 ,$250 ,$308 ,$502 ,$229 ,$274 ,$55 ,$21 ,$34 
Alabama,1977,"$5,001 ","$4,810 ",$467 ,$179 ,$288 ,$467 ,$179 ,$288 ,$0 ,$0 ,$0 
Alabama,1978,"$5,013 ","$4,781 ",$460 ,$186 ,$275 ,$460 ,$186 ,$275 ,$0 ,$0 ,$0 
Alabama,1979,"$5,020 ","$4,750 ",$438 ,$211 ,$227 ,$438 ,$211 ,$227 ,$0 ,$0 ,$0 
Alabama,1980,"$4,889 ","$4,698 ",$395 ,$192 ,$203 ,$395 ,$192 ,$203 ,$0 ,$0 ,$0 
Alabama,1981,"$5,171 ","$4,633 ",$427 ,$203 ,$225 ,$427 ,$203 ,$225 ,$0 ,$0 ,$0 
Alabama,1982,"$4,946 ","$4,820 ",$360 ,$195 ,$165 ,$360 ,$195 ,$165 ,$0 ,$0 ,$0 
Alabama,1983,"$5,171 ","$5,003 ",$401 ,$203 ,$198 ,$401 ,$203 ,$198 ,$0 ,$0 ,$0 
Alabama,1984,"$5,655 ","$4,955 ",$409 ,$194 ,$215 ,$409 ,$194 ,$215 ,$0 ,$0 ,$0 
Alabama,1985,"$5,809 ","$5,368 ",$467 ,$220 ,$247 ,$467 ,$220 ,$247 ,$0 ,$0 ,$0 
Alabama,1986,"$5,967 ","$5,648 ",$463 ,$227 ,$235 ,$463 ,$227 ,$235 ,$0 ,$0 ,$0 
Alabama,1987,"$5,982 ","$5,445 ",$384 ,$216 ,$168 ,$384 ,$216 ,$168 ,$0 ,$0 ,$0 
Alabama,1988,"$6,340 ","$5,579 ",$437 ,$197 ,$241 ,$437 ,$197 ,$241 ,$0 ,$0 ,$0 
Alabama,1989,"$6,212 ","$5,778 ",$427 ,$211 ,$216 ,$427 ,$211 ,$216 ,$0 ,$0 ,$0 
Alabama,1990,"$6,376 ","$5,941 ",$405 ,$196 ,$209 ,$405 ,$196 ,$209 ,$0 ,$0 ,$0 
Alabama,1991,"$6,443 ","$6,216 ",$394 ,$191 ,$203 ,$394 ,$191 ,$203 ,$0 ,$0 ,$0 
Alabama,1992,"$6,735 ","$6,555 ",$404 ,$199 ,$205 ,$404 ,$199 ,$205 ,$0 ,$0 ,$0 
Alabama,1993,"$6,828 ","$6,457 ",$426 ,$199 ,$227 ,$426 ,$199 ,$227 ,$0 ,$0 ,$0 
Alabama,1994,"$6,851 ","$6,685 ",$439 ,$223 ,$216 ,$439 ,$223 ,$216 ,$0 ,$0 ,$0 
