,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
All (Total),"21,635","25,008","33,013","52,007","58,568","57,336","58,708","62,042","69,125","73,288","71,428","70,471","70,485","67,874","65,098","70,007","69,203","70,682","66,137","69,546","84,605","94,210","93,741","100,846","108,330","99,527","82,311","79,731","86,761","93,546","95,971","84,950","87,191","86,376","88,828","89,863","94,718","96,738","101,725","101,474","97,864","96,509","98,349","102,505","106,804","120,226","126,640","122,700","115,985","111,936","108,469","101,094","99,189","103,639","116,922","111,880","106,812","100,735","99,769","97,428","98,959","98,393"
All (Capital),"16,211","18,886","28,150","44,194","50,215","48,119","50,060","52,766","59,816","62,901","60,885","59,466","58,814","55,731","52,194","55,127","54,660","54,944","50,860","51,221","63,860","72,575","70,178","77,619","83,032","68,986","59,236","59,063","66,630","73,557","77,268","66,520","68,623","67,121","69,859","70,807","73,057","76,049","78,827","78,686","75,581","73,064","74,929","79,611","84,808","93,172","99,426","95,229","89,356","83,696","81,236","73,500","72,669","76,375","85,058","81,949","76,308","71,889","71,068","69,962","71,774","71,548"
All (O&M),"5,424","6,122","4,862","7,813","8,353","9,217","8,649","9,277","9,309","10,387","10,543","11,005","11,671","12,143","12,904","14,881","14,543","15,738","15,277","18,326","20,745","21,635","23,563","23,227","25,299","30,542","23,074","20,669","20,131","19,988","18,703","18,430","18,568","19,255","18,970","19,056","21,661","20,689","22,897","22,788","22,283","23,444","23,420","22,893","21,996","27,054","27,214","27,471","26,630","28,240","27,233","27,594","26,520","27,265","31,863","29,931","30,504","28,846","28,702","27,466","27,184","26,845"
Highways (Total),"10,206","12,372","19,231","33,416","38,899","34,831","36,485","38,509","45,548","48,902","46,122","44,585","44,659","42,072","40,356","39,774","38,275","36,294","27,832","25,841","34,174","33,066","32,712","36,563","40,845","34,581","27,073","29,822","36,126","44,001","46,678","39,633","42,382","40,479","41,712","41,559","43,850","46,616","52,009","50,915","49,853","49,856","47,877","52,606","55,203","58,193","62,711","61,809","59,086","55,307","53,790","49,199","47,783","49,094","53,217","52,671","49,905","47,913","47,741","45,448","46,855","45,842"
Highways (Capital),"9,695","11,884","19,037","33,094","38,413","34,468","35,916","37,890","44,920","48,195","45,706","43,948","43,494","41,009","38,900","38,195","36,683","34,845","26,110","24,121","32,436","31,665","30,918","34,695","38,935","32,706","25,667","28,638","34,980","42,900","45,539","38,325","41,109","39,304","40,410","40,304","42,403","45,206","50,271","49,354","48,306","48,140","46,868","51,475","53,912","56,634","60,921","60,275","57,517","53,827","52,216","46,817","45,520","47,114","50,713","50,354","47,685","45,659","44,894","43,366","44,665","43,803"
Highways (O&M),511,488,194,321,486,363,569,618,628,707,416,637,"1,165","1,063","1,456","1,579","1,591","1,450","1,722","1,721","1,738","1,402","1,794","1,868","1,910","1,874","1,406","1,184","1,146","1,101","1,139","1,308","1,273","1,175","1,302","1,255","1,447","1,411","1,738","1,561","1,547","1,715","1,009","1,131","1,292","1,559","1,790","1,533","1,569","1,480","1,574","2,382","2,263","1,981","2,504","2,317","2,220","2,254","2,847","2,082","2,190","2,039"
Mass Transit (Total),0,0,0,0,0,0,9,42,67,133,209,443,651,"1,286",950,"1,475","2,094","3,007","3,000","4,915","7,217","9,625","10,459","11,545","13,238","13,608","12,438","11,694","12,196","10,871","10,711","10,026","9,465","9,906","10,038","9,718","8,894","8,861","9,038","9,951","9,364","9,184","9,055","8,796","10,623","13,986","14,491","13,917","13,632","13,150","12,466","12,051","12,168","13,542","15,336","13,590","13,592","12,462","12,888","12,365","12,825","12,347"
Mass Transit (Capital),0,0,0,0,0,0,0,24,59,126,171,421,627,"1,237",917,"1,330","1,787","2,332","2,570","3,879","4,400","6,288","6,697","7,961","8,333","8,981","8,062","8,667","10,148","8,033","8,886","7,929","7,155","7,674","8,469","8,204","6,999","7,847","6,668","6,131","5,859","5,110","7,697","7,197","8,679","11,536","11,513","10,708","9,817","8,971","8,602","8,136","8,661","10,222","10,144","8,773","8,745","8,011","8,322","8,767","9,062","8,726"
Mass Transit (O&M),0,0,0,0,0,0,9,17,8,8,38,22,24,49,33,145,307,676,430,"1,036","2,816","3,337","3,761","3,584","4,905","4,626","4,376","3,027","2,048","2,838","1,825","2,097","2,309","2,232","1,569","1,514","1,896","1,014","2,370","3,820","3,505","4,074","1,358","1,598","1,944","2,450","2,978","3,209","3,815","4,179","3,863","3,916","3,506","3,320","5,191","4,816","4,848","4,451","4,567","3,598","3,764","3,622"
Rail (Total),87,105,139,115,95,92,232,104,124,231,199,306,198,194,183,663,800,928,"1,155","4,020","6,209","8,134","8,093","8,464","8,725","10,977","6,054","3,798","4,254","2,903","2,275","2,066","1,371","1,380","1,180","1,772","2,043","1,775","1,802","2,242","2,131","2,331","2,159",883,"1,494","1,423","2,426","1,971","2,275","2,067","2,048","1,900","1,807","2,178","3,141","2,835","2,717","2,786","3,096","2,910","3,945","4,673"
Rail (Capital),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,920,"2,642","4,479","4,182","5,409","5,095","1,562","1,623","1,327","1,411","1,115",443,460,0,-17,-129,581,904,654,753,"1,180","1,273","1,512","1,386",663,"1,247","1,181","2,140","1,007",915,900,"1,163","1,050","1,019","1,317","2,195","1,921","1,813","1,946","2,404","2,606","3,695","4,428"
Rail (O&M),87,105,139,115,95,92,232,104,124,231,199,306,198,194,183,663,800,928,914,"3,100","3,567","3,655","3,911","3,055","3,630","9,415","4,431","2,471","2,842","1,787","1,833","1,606","1,371","1,397","1,309","1,191","1,138","1,121","1,049","1,062",857,819,773,220,247,242,286,964,"1,360","1,167",886,850,788,861,946,914,904,840,692,304,250,245
Aviation (Total),"2,014","2,390","3,347","5,216","5,943","7,453","8,149","8,053","7,900","8,013","7,702","8,099","8,000","8,442","8,887","10,412","10,594","11,596","10,546","10,330","10,454","11,132","12,724","12,383","12,530","11,464","9,821","10,901","11,922","13,036","14,016","14,395","14,887","16,187","17,001","18,350","20,564","22,022","21,948","21,279","20,378","19,430","19,607","19,191","18,174","20,856","23,068","22,413","20,351","20,965","20,248","18,719","18,518","19,124","19,233","18,292","18,060","17,344","16,719","16,969","16,813","16,774"
Aviation (Capital),351,547,"1,162","2,018","2,133","2,796","2,813","2,262","1,994","1,746","1,272","1,273","1,282","1,641","1,510","1,600","2,346","3,680","2,386","2,393","2,302","2,689","3,995","3,756","3,709","2,795","2,174","2,589","3,416","4,286","5,421","5,722","5,904","6,491","6,932","7,888","9,380","10,845","10,790","11,436","10,002","8,779","8,314","8,079","7,438","8,621","10,513","9,893","9,786","9,575","9,112","8,002","7,540","7,475","7,677","6,794","6,348","6,481","5,931","5,699","5,552","5,512"
Aviation (O&M),"1,663","1,843","2,185","3,198","3,810","4,657","5,337","5,790","5,906","6,268","6,429","6,826","6,717","6,801","7,377","8,812","8,248","7,916","8,160","7,937","8,151","8,443","8,729","8,627","8,821","8,669","7,646","8,312","8,506","8,751","8,594","8,673","8,983","9,696","10,069","10,463","11,184","11,178","11,158","9,842","10,376","10,651","11,293","11,112","10,736","12,235","12,555","12,521","10,566","11,390","11,136","10,718","10,978","11,649","11,556","11,498","11,712","10,862","10,789","11,270","11,262","11,262"
Water Transportation (Total),963,826,940,934,"1,090","1,122",857,924,"1,077","1,203","1,324","1,625","1,768","1,585","1,400","1,245","1,351","1,432","1,628","1,379","1,391","1,529","1,520","1,705","1,886","1,838","1,987","2,511","2,497","2,378","2,269","2,178","2,256","2,095","2,188","2,100","2,078","1,969","2,152","1,895","1,858","1,814","2,815","2,936","3,095","3,946","3,978","3,462","3,205","3,977","3,857","4,163","4,188","4,356","4,477","4,598","4,592","4,440","4,438","4,632","4,193","4,445"
Water Transportation (Capital),322,289,354,319,453,460,286,350,431,534,683,887,"1,011",824,639,482,551,608,807,523,526,570,534,691,836,697,800,"1,259","1,222","1,118","1,097",947,999,807,856,897,727,645,765,516,666,616,665,744,821,"1,353",866,"1,185","1,058","1,228","1,234","1,424","1,351","1,467","1,424","1,535","1,519","1,479","1,611","1,625","1,251","1,517"
Water Transportation (O&M),641,537,586,615,637,663,571,574,646,668,641,739,757,761,761,763,800,824,821,856,865,959,987,"1,013","1,050","1,142","1,187","1,251","1,275","1,260","1,172","1,231","1,258","1,288","1,333","1,202","1,352","1,325","1,387","1,379","1,192","1,198","2,150","2,192","2,274","2,593","3,112","2,278","2,147","2,749","2,622","2,739","2,837","2,888","3,053","3,063","3,073","2,961","2,827","3,007","2,942","2,928"
Water Resources (Total),"8,366","9,294","9,166","11,945","12,110","13,367","12,531","13,865","13,718","14,087","15,052","14,416","13,364","12,120","10,711","11,628","11,996","12,623","11,523","11,850","11,431","12,613","12,694","13,205","13,260","11,850","10,534","10,112","10,291","10,155","9,774","9,069","9,450","9,664","9,634","9,192","10,148","9,387","9,392","9,668","9,270","8,677","10,058","10,998","10,727","13,679","12,031","11,887","10,432","10,528","10,312","9,559","9,547","10,546","14,067","13,121","11,562","10,336","10,261","10,270","9,920","10,076"
Water Resources (Capital),"5,844","6,146","7,408","8,382","8,785","9,925","10,600","11,693","11,721","11,580","12,232","11,940","10,554","8,844","7,615","8,710","9,199","8,677","8,293","8,174","7,824","8,773","8,313","8,124","8,277","7,034","6,505","5,689","5,977","5,903","5,634","5,554","6,075","6,198","6,247","5,761","5,503","4,745","4,196","4,544","4,463","3,690","4,628","6,016","6,822","8,117","7,405","6,614","5,979","5,481","5,777","5,002","5,023","5,311","7,179","6,788","5,256","4,181","4,248","4,332","3,998","4,108"
Water Resources (O&M),"2,522","3,149","1,758","3,563","3,325","3,442","1,931","2,172","1,996","2,506","2,819","2,475","2,810","3,276","3,096","2,918","2,797","3,946","3,230","3,676","3,607","3,840","4,381","5,081","4,983","4,816","4,029","4,422","4,314","4,252","4,141","3,515","3,375","3,467","3,387","3,431","4,645","4,642","5,196","5,123","4,806","4,987","5,430","4,983","3,906","5,562","4,626","5,273","4,453","5,047","4,535","4,557","4,524","5,235","6,888","6,333","6,306","6,155","6,013","5,938","5,921","5,968"
Water Utilities (Total),0,21,190,381,431,470,445,546,690,720,821,997,"1,845","2,177","2,613","4,809","4,094","4,802","10,453","11,211","13,729","18,111","15,539","16,982","17,846","15,210","14,405","10,893","9,475","10,202","10,248","7,583","7,381","6,664","7,075","7,172","7,142","6,107","5,384","5,524","5,012","5,216","6,777","7,094","7,487","8,142","7,935","7,241","7,004","5,942","5,748","5,502","5,177","4,799","7,451","6,773","6,383","5,455","4,626","4,835","4,408","4,235"
