,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
All (Total),"137,628","145,322","155,625","172,713","172,618","180,398","183,814","193,821","199,267","205,130","208,272","213,134","213,749","217,389","213,627","218,972","223,183","213,606","199,140","208,565","217,131","219,895","228,738","249,696","257,644","247,315","237,652","245,597","257,669","278,695","295,424","305,106","315,950","323,001","330,443","339,335","343,237","348,847","361,447","366,954","367,094","373,191","382,338","396,142","406,532","418,590","436,001","444,272","436,137","422,380","420,939","419,275","417,908","431,336","427,398","411,232","403,494","396,440","403,045","416,594","418,824","410,791"
All (Capital),"80,678","84,656","93,409","107,882","106,459","111,813","115,592","121,539","126,797","130,924","130,850","134,386","133,978","136,552","129,787","133,057","135,116","124,691","107,759","111,125","115,153","107,891","111,485","127,743","132,376","119,421","106,416","109,163","119,677","135,282","145,392","151,232","158,564","162,519","167,485","173,494","174,883","175,698","180,845","181,523","179,212","181,191","185,879","197,421","205,254","212,865","223,826","229,572","224,252","209,720","203,472","196,827","193,238","198,188","198,269","185,984","177,054","170,035","171,496","180,057","175,939","166,055"
All (O&M),"56,950","60,666","62,216","64,831","66,158","68,585","68,222","72,282","72,470","74,206","77,422","78,747","79,771","80,836","83,840","85,915","88,067","88,915","91,381","97,440","101,978","112,003","117,252","121,954","125,268","127,895","131,236","136,434","137,992","143,413","150,032","153,874","157,386","160,483","162,958","165,841","168,355","173,149","180,602","185,431","187,881","192,000","196,459","198,721","201,278","205,725","212,174","214,700","211,886","212,660","217,467","222,449","224,671","233,148","229,129","225,248","226,440","226,406","231,548","236,537","242,885","244,736"
Highways (Total),"95,622","101,725","110,625","123,391","122,705","127,158","130,374","136,509","140,430","143,029","142,414","148,668","146,662","147,193","143,103","145,507","145,031","131,954","118,888","120,276","124,341","119,694","126,560","137,468","138,739","124,853","115,468","119,330","129,750","144,227","151,543","152,722","157,367","160,534","162,644","166,385","167,240","169,249","175,632","178,955","177,326","179,109","186,355","193,551","199,689","204,333","211,057","208,775","203,352","197,977","197,235","190,619","186,941","183,839","181,097","173,921","171,646","166,643","168,489","177,439","179,987","175,913"
Highways (Capital),"61,892","65,185","72,582","84,498","83,204","85,523","89,860","93,950","98,193","99,894","98,294","103,762","101,756","101,759","96,639","98,261","97,454","84,096","70,836","70,151","72,937","65,927","70,570","80,553","82,194","69,777","60,162","62,068","71,334","83,301","88,587","89,706","95,739","98,179","99,638","103,297","104,070","104,869","109,861","111,424","109,160","109,518","114,558","120,156","124,134","128,196","133,291","130,223","127,063","121,091","119,173","112,760","108,870","104,881","104,953","98,694","97,085","91,620","90,933","98,092","98,511","93,815"
Highways (O&M),"33,729","36,540","38,043","38,893","39,501","41,636","40,514","42,560","42,237","43,135","44,120","44,906","44,907","45,434","46,464","47,247","47,577","47,858","48,052","50,125","51,405","53,767","55,990","56,915","56,546","55,076","55,306","57,262","58,416","60,926","62,956","63,016","61,629","62,354","63,005","63,089","63,170","64,381","65,770","67,531","68,166","69,591","71,797","73,395","75,556","76,137","77,765","78,552","76,289","76,885","78,061","77,859","78,071","78,958","76,143","75,228","74,562","75,022","77,556","79,347","81,476","82,097"
Mass Transit (Total),"8,328","8,136","8,319","8,438","8,714","8,561","8,495","9,636","10,003","11,616","10,854","11,950","13,704","14,336","13,098","14,012","15,144","17,823","17,271","19,837","21,457","26,361","26,341","28,565","31,070","34,188","36,474","39,082","40,362","41,020","42,255","42,772","42,920","43,480","44,532","46,324","47,020","46,885","52,236","52,857","51,537","51,016","50,994","51,969","54,463","55,667","61,755","66,357","66,346","62,750","60,864","58,914","61,024","67,708","67,416","64,667","65,791","67,080","70,025","71,628","71,493","69,782"
Mass Transit (Capital),"1,415","1,459","1,622","1,255","1,180","1,539","1,145","1,981","1,829","2,761","2,310","3,247","4,208","4,904","2,821","3,172","3,415","5,992","4,731","5,401","6,228","7,760","7,200","7,933","8,566","9,459","9,994","11,461","12,593","12,714","12,712","12,728","12,267","13,475","14,800","14,495","14,413","14,581","18,631","19,108","18,130","17,242","16,645","16,947","18,976","18,401","23,214","27,011","27,141","22,615","20,142","16,685","17,266","21,675","22,061","20,880","21,000","22,303","24,187","24,732","23,338","21,261"
Mass Transit (O&M),"6,913","6,677","6,697","7,183","7,534","7,022","7,350","7,655","8,174","8,855","8,545","8,703","9,496","9,431","10,277","10,839","11,729","11,831","12,540","14,436","15,229","18,601","19,141","20,632","22,503","24,729","26,480","27,621","27,770","28,307","29,543","30,044","30,652","30,005","29,732","31,829","32,607","32,304","33,605","33,749","33,407","33,774","34,350","35,021","35,487","37,266","38,541","39,346","39,204","40,135","40,722","42,229","43,757","46,033","45,354","43,787","44,791","44,776","45,838","46,896","48,155","48,522"
Rail (Total),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,759,"1,763",140,-25,309,584,253,295,584,325,175,93,80,68,45,5,16,35,49,73,58,58,87,117,92,38,73,84,40,35,59,32,7,1,2,43,437,774,967,"2,737","2,594","3,675","4,396"
Rail (Capital),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,759,"1,763",140,-25,304,577,242,209,159,319,173,88,75,63,40,0,5,35,49,73,58,58,87,115,90,36,69,82,37,35,56,29,7,1,2,43,437,774,967,"2,387","2,594","3,675","4,396"
Rail (O&M),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,11,86,425,6,3,5,5,5,5,5,11,0,0,0,0,0,0,2,2,2,3,2,3,0,3,3,0,0,0,0,0,0,0,350,0,0,0
Aviation (Total),"2,308","2,940","3,359","3,858","4,316","5,362","4,659","4,314","4,180","4,683","4,525","4,657","4,868","6,348","7,605","7,710","8,893","9,314","7,163","7,194","7,436","6,935","8,094","9,254","10,268","9,714","9,317","9,852","11,303","11,931","13,289","14,421","15,136","15,763","16,717","17,797","19,734","21,798","21,284","18,775","19,380","20,999","21,889","24,624","25,357","28,326","28,591","29,198","29,096","27,473","26,073","26,103","26,007","27,387","27,798","25,239","23,360","22,628","22,512","23,513","22,972","23,440"
Aviation (Capital),"1,545","2,042","3,074","2,830","3,049","4,027","3,220","2,727","2,572","2,978","2,748","2,886","3,097","4,264","5,325","5,221","6,251","6,585","4,149","3,825","3,731","3,098","4,064","5,020","5,737","4,925","4,305","4,701","5,962","6,480","7,457","8,333","8,706","8,868","9,598","10,470","12,176","13,734","12,665","9,677","9,820","11,178","11,776","14,004","14,370","16,747","16,555","17,066","16,994","15,342","13,577","13,164","12,920","13,830","14,567","12,324","10,227","9,554","8,933","9,621","8,706","9,066"
