Year,All (Total),All (Capital),All (O&M),Highways (Total),Highways (Capital),Highways (O&M),Mass Transit (Total),Mass Transit (Capital),Mass Transit (O&M),Rail (Total),Rail (Capital),Rail (O&M),Aviation (Total),Aviation (Capital),Aviation (O&M),Water Transportation (Total),Water Transportation (Capital),Water Transportation (O&M),Water Resources (Total),Water Resources (Capital),Water Resources (O&M),Water Utilities (Total),Water Utilities (Capital),Water Utilities (O&M)
1956,21635,16211,5424,10206,9695,511,0,0,0,87,0,87,2014,351,1663,963,322,641,8366,5844,2522,0,0,0
1957,25008,18886,6122,12372,11884,488,0,0,0,105,0,105,2390,547,1843,826,289,537,9294,6146,3149,21,21,0
1958,33013,28150,4862,19231,19037,194,0,0,0,139,0,139,3347,1162,2185,940,354,586,9166,7408,1758,190,190,0
1959,52007,44194,7813,33416,33094,321,0,0,0,115,0,115,5216,2018,3198,934,319,615,11945,8382,3563,381,381,0
1960,58568,50215,8353,38899,38413,486,0,0,0,95,0,95,5943,2133,3810,1090,453,637,12110,8785,3325,431,431,0
1961,57336,48119,9217,34831,34468,363,0,0,0,92,0,92,7453,2796,4657,1122,460,663,13367,9925,3442,470,470,0
1962,58708,50060,8649,36485,35916,569,9,0,9,232,0,232,8149,2813,5337,857,286,571,12531,10600,1931,445,445,0
1963,62042,52766,9277,38509,37890,618,42,24,17,104,0,104,8053,2262,5790,924,350,574,13865,11693,2172,546,546,0
1964,69125,59816,9309,45548,44920,628,67,59,8,124,0,124,7900,1994,5906,1077,431,646,13718,11721,1996,690,690,0
1965,73288,62901,10387,48902,48195,707,133,126,8,231,0,231,8013,1746,6268,1203,534,668,14087,11580,2506,720,720,0
1966,71428,60885,10543,46122,45706,416,209,171,38,199,0,199,7702,1272,6429,1324,683,641,15052,12232,2819,821,821,0
1967,70471,59466,11005,44585,43948,637,443,421,22,306,0,306,8099,1273,6826,1625,887,739,14416,11940,2475,997,997,0
1968,70485,58814,11671,44659,43494,1165,651,627,24,198,0,198,8000,1282,6717,1768,1011,757,13364,10554,2810,1845,1845,0
1969,67874,55731,12143,42072,41009,1063,1286,1237,49,194,0,194,8442,1641,6801,1585,824,761,12120,8844,3276,2177,2177,0
