Year,All (Total),All (Capital),All (O&M),Highways (Total),Highways (Capital),Highways (O&M),Mass Transit (Total),Mass Transit (Capital),Mass Transit (O&M),Rail (Total),Rail (Capital),Rail (O&M),Aviation (Total),Aviation (Capital),Aviation (O&M),Water Transportation (Total),Water Transportation (Capital),Water Transportation (O&M),Water Resources (Total),Water Resources (Capital),Water Resources (O&M),Water Utilities (Total),Water Utilities (Capital),Water Utilities (O&M)
1956,137628,80678,56950,95622,61892,33729,8328,1415,6913,0,0,0,2308,1545,763,2516,1137,1380,1870,343,1526,26983,14346,12638
1957,145322,84656,60666,101725,65185,36540,8136,1459,6677,0,0,0,2940,2042,898,2190,1068,1122,2603,499,2104,27729,14403,13326
1958,155625,93409,62216,110625,72582,38043,8319,1622,6697,0,0,0,3359,3074,285,2454,1356,1098,3310,707,2603,27558,14068,13490
1959,172713,107882,64831,123391,84498,38893,8438,1255,7183,0,0,0,3858,2830,1028,2687,1527,1160,4066,1008,3058,30274,16765,13509
1960,172618,106459,66158,122705,83204,39501,8714,1180,7534,0,0,0,4316,3049,1266,2662,1370,1292,1870,322,1548,32351,17334,15017
1961,180398,111813,68585,127158,85523,41636,8561,1539,7022,0,0,0,5362,4027,1335,3165,1929,1236,1995,450,1545,34157,18345,15811
1962,183814,115592,68222,130374,89860,40514,8495,1145,7350,0,0,0,4659,3220,1439,3109,1826,1283,2234,484,1751,34943,19057,15887
1963,193821,121539,72282,136509,93950,42560,9636,1981,7655,0,0,0,4314,2727,1587,2975,1866,1109,3001,807,2194,37387,20209,17178
1964,199267,126797,72470,140430,98193,42237,10003,1829,8174,0,0,0,4180,2572,1607,3003,1658,1345,3493,1179,2314,38158,21366,16792
1965,205130,130924,74206,143029,99894,43135,11616,2761,8855,0,0,0,4683,2978,1705,2786,1491,1295,2783,713,2070,40233,23088,17146
1966,208272,130850,77422,142414,98294,44120,10854,2310,8545,0,0,0,4525,2748,1777,3078,1757,1322,5211,1584,3627,42189,24158,18031
1967,213134,134386,78747,148668,103762,44906,11950,3247,8703,0,0,0,4657,2886,1771,2966,1615,1350,6166,2125,4041,38727,20751,17976
1968,213749,133978,79771,146662,101756,44907,13704,4208,9496,0,0,0,4868,3097,1771,3561,2224,1338,5883,1946,3938,39070,20747,18322
1969,217389,136552,80836,147193,101759,45434,14336,4904,9431,0,0,0,6348,4264,2084,3827,2335,1492,5106,1503,3603,40578,21786,18792
1970,213627,129787,83840,143103,96639,46464,13098,2821,10277,0,0,0,7605,5325,2280,3465,1940,1526,4931,1338,3592,41426,21725,19701
1971,218972,133057,85915,145507,98261,47247,14012,3172,10839,0,0,0,7710,5221,2489,3646,2116,1530,4818,1271,3547,43278,23015,20263
1972,223183,135116,88067,145031,97454,47577,15144,3415,11729,0,0,0,8893,6251,2642,3537,1977,1560,4379,1018,3361,46200,25000,21200
1973,213606,124691,88915,131954,84096,47858,17823,5992,11831,0,0,0,9314,6585,2729,3809,2110,1699,3528,772,2755,47179,25136,22043
1974,199140,107759,91381,118888,70836,48052,17271,4731,12540,118,118,0,7163,4149,3015,3618,1922,1695,3604,829,2774,48478,25174,23305
1975,208565,111125,97440,120276,70151,50125,19837,5401,14436,759,759,0,7194,3825,3369,3773,1956,1817,3862,882,2980,52863,28151,24713
1976,217131,115153,101978,124341,72937,51405,21457,6228,15229,1763,1763,0,7436,3731,3705,3367,1486,1882,4072,785,3286,54695,28224,26471
