Year,All (Total),All (Capital),All (O&M),Highways (Total),Highways (Capital),Highways (O&M),Mass Transit (Total),Mass Transit (Capital),Mass Transit (O&M),Rail (Total),Rail (Capital),Rail (O&M),Aviation (Total),Aviation (Capital),Aviation (O&M),Water Transportation (Total),Water Transportation (Capital),Water Transportation (O&M),Water Resources (Total),Water Resources (Capital),Water Resources (O&M),Water Utilities (Total),Water Utilities (Capital),Water Utilities (O&M)
1956,149186,86813,62373,96133,61892,34240,8328,1415,6913,87,0,87,4101,1675,2426,3479,1458,2021,10074,6026,4048,26983,14346,12638
1957,157985,91253,66732,102157,65185,36972,8136,1459,6677,105,0,105,5075,2334,2741,3016,1357,1659,11767,6515,5253,27729,14403,13326
1958,168629,101645,66983,110724,72582,38142,8319,1622,6697,139,0,139,6185,3715,2470,3394,1710,1684,12310,7949,4361,27558,14068,13490
1959,190156,117671,72486,123554,84498,39057,8438,1255,7183,115,0,115,8373,4147,4226,3621,1846,1774,15782,9161,6621,30274,16765,13509
1960,191103,116783,74319,122999,83204,39795,8714,1180,7534,95,0,95,9543,4467,5076,3752,1824,1928,13648,8775,4873,32351,17334,15017
1961,201481,123841,77641,127361,85523,41838,8561,1539,7022,92,0,92,11981,5989,5992,4288,2389,1899,15042,10055,4987,34157,18345,15811
1962,205116,128425,76691,131033,90118,40915,8504,1145,7359,232,0,232,12070,5294,6775,3966,2112,1854,14368,10699,3669,34943,19057,15887
1963,216065,134879,81185,137178,94175,43003,9654,1981,7673,104,0,104,11730,4353,7378,3899,2216,1682,16113,11945,4168,37387,20209,17178
1964,221298,139815,81482,141037,98378,42659,10011,1829,8182,124,0,124,11313,3800,7514,4081,2089,1991,16573,12354,4219,38158,21366,16792
1965,227875,143647,84228,143731,100110,43621,11624,2761,8863,231,0,231,11886,3914,7972,3989,2025,1963,16181,11749,4432,40233,23088,17146
1966,231527,144049,87478,142815,98511,44303,10893,2310,8583,199,0,199,11649,3443,8206,4402,2439,1963,19381,13188,6193,42189,24158,18031
1967,236491,147388,89102,149030,103938,45092,11972,3247,8725,306,0,306,12114,3518,8597,4591,2502,2089,19750,13433,6317,38727,20751,17976
1968,236438,145731,90707,147428,101913,45515,13718,4208,9510,198,0,198,12155,3667,8488,5330,3234,2095,18539,11961,6578,39070,20747,18322
1969,239074,146625,92449,148082,101947,46135,14376,4904,9471,194,0,194,13877,4992,8885,5412,3159,2253,16556,9836,6720,40578,21786,18792
1970,234384,138517,95866,144031,96801,47231,13122,2821,10301,183,0,183,15853,6196,9657,4865,2579,2286,14905,8397,6508,41426,21725,19701
1971,243035,143061,99974,146497,98409,48088,14134,3172,10962,663,0,663,17688,6387,11301,4891,2598,2293,15883,9478,6405,43278,23015,20263
1972,247982,146091,101891,146180,97667,48513,15423,3415,12007,800,0,800,18762,7872,10890,4887,2528,2359,15730,9607,6123,46200,25000,21200
1973,239748,135851,103897,133029,84397,48632,18439,5992,12446,928,0,928,19398,8754,10644,5241,2718,2523,15534,8853,6681,47179,25136,22043
1974,223557,117849,105708,120110,71163,48948,17602,4731,12871,1155,240,914,16467,5293,11174,5246,2730,2517,14498,8518,5979,48478,25174,23305
1975,236010,120910,115099,121699,70491,51208,20873,5401,15472,4020,920,3100,16214,4907,11306,5152,2479,2673,15189,8562,6627,52863,28151,24713
1976,244654,125213,119441,125725,73255,52470,21697,6228,15469,6209,2642,3567,16638,4782,11856,4759,2012,2746,14931,8070,6862,54695,28224,26471
1977,252300,122369,129931,120723,66266,54457,26718,7760,18957,8134,4479,3655,16455,4176,12279,4957,1933,3024,15965,8900,7065,59348,28854,30494
1978,261936,125511,136425,127957,70965,56991,26539,7200,19338,8093,4182,3911,18047,5287,12760,5035,1954,3081,16270,8204,8066,59996,27718,32278
1979,283490,142650,140839,138779,80901,57878,28734,7933,20801,8464,5409,3055,19034,6172,12861,5853,2679,3174,17681,8297,9384,64947,31259,33688
1980,292330,147367,144964,140088,82536,57552,31314,8566,22748,8725,5095,3630,20386,7033,13353,6263,2995,3268,18719,8880,9839,66835,32261,34575
1981,282672,129627,153045,126020,70044,55976,34433,9459,24974,10977,1562,9415,19554,6096,13458,6493,3076,3417,17326,7788,9538,67869,31602,36267
1982,265432,115932,149500,116461,60320,56141,36696,9994,26702,6054,1623,4431,18082,5424,12658,6131,2661,3470,15471,7771,7701,66537,28140,38397
1983,271529,118179,153350,120233,62218,58015,39213,11461,27752,3798,1327,2471,19342,5879,13463,6586,3014,3572,15518,7349,8169,66838,26931,39907
1984,284484,128702,155781,130531,71415,59116,40521,12593,27929,4254,1411,2842,20962,7116,13846,6298,2785,3513,15694,7748,7946,66224,25634,40589
1985,304630,144383,160247,144909,83324,61584,41149,12714,28435,2903,1115,1787,22349,8146,14203,6515,3023,3492,16461,8089,8372,70345,27972,42373
1986,321170,154625,166545,152251,88623,63627,42362,12712,29650,2275,443,1833,24527,10101,14427,6759,3305,3453,16611,7936,8676,76385,31506,44879
1987,330489,160624,169865,153645,89771,63874,42885,12728,30157,2066,460,1606,25966,11205,14762,6650,3075,3575,17559,8374,9185,81718,35012,46706
1988,341998,168691,173306,158139,95775,62364,43123,12267,30856,1371,0,1371,27559,12145,15414,6826,3179,3647,21064,9092,11971,83917,36234,47683
1989,349447,172457,176989,161145,98224,62921,43578,13475,30103,1380,-17,1397,28684,12094,16591,6648,2953,3695,21964,9589,12374,86049,36141,49909
1990,357819,177858,179961,163549,99725,63824,44623,14800,29823,1180,-129,1309,30430,13242,17188,6662,2926,3736,22542,10189,12353,88833,37106,51727
1991,367512,184543,182969,167308,103449,63859,46407,14495,31911,1772,581,1191,32219,14429,17790,6436,2890,3546,21588,9267,12321,91782,39431,52352
1992,374777,187007,187770,168359,104188,64171,47117,14413,32705,2043,904,1138,36062,17320,18742,6140,2471,3669,22633,8798,13835,92424,38912,53511
1993,378953,187391,191562,170257,104941,65316,46102,14581,31520,1775,654,1121,38865,19624,19241,6628,2947,3681,22040,7838,14202,93286,36806,56480
1994,394169,192695,201474,176898,109905,66993,53179,18631,34549,1802,753,1049,38982,19205,19776,7240,3543,3697,22913,7600,15313,93154,33058,60097
1995,399873,194141,205732,179960,111458,68502,55108,19108,36000,2242,1180,1062,35410,16470,18941,6503,2720,3783,24024,8609,15415,96626,34597,62029
1996,399238,191245,207993,178332,109188,69144,53605,18130,35475,2131,1273,857,35773,15838,19936,6832,3071,3761,24247,8605,15642,98318,35140,63178
1997,405660,191981,213679,180315,109532,70783,53969,17242,36727,2331,1512,819,37038,16566,20472,6964,3067,3897,24231,7659,16572,100812,36403,64410
1998,414634,197590,217044,186925,114610,72315,51122,16645,34478,2159,1386,773,38212,16807,21405,7895,3004,4891,26449,8870,17579,101871,36268,65602
1999,427946,209473,218473,194084,120156,73927,52249,16947,35301,883,663,220,40534,18802,21732,8305,3413,4891,27550,10567,16983,104342,38925,65417
2000,438199,218375,219824,200355,124136,76219,54832,18976,35855,1494,1247,247,40280,18633,21647,9590,4732,4859,28555,12772,15783,103093,37878,65215
2001,457004,228109,228894,205220,128198,77022,56295,18401,37894,1423,1181,242,45180,21366,23814,12814,7449,5365,32506,14420,18086,103566,37095,66471
2002,474089,239250,234839,212095,133296,78799,62358,23214,39144,2426,2140,286,46204,21613,24590,10620,4477,6143,30185,12721,17463,110202,41789,68413
2003,480771,243237,237534,209604,130223,79381,66895,27011,39885,1971,1007,964,46656,22003,24653,11914,6358,5556,30168,11640,18528,113563,44994,68569
2004,469231,236716,232515,204449,127065,77384,66891,27141,39749,2275,915,1360,44282,21614,22667,9140,3727,5413,27822,10948,16874,114373,45306,69067
2005,456265,221236,235029,199158,121119,78040,63264,22615,40649,2067,900,1167,42777,19256,23521,9556,3589,5967,27423,10292,17131,112019,43465,68555
2006,453452,214972,238480,198252,119161,79091,61301,20142,41159,2048,1163,886,40689,17057,23632,9674,3803,5871,27971,10747,17225,113517,42900,70617
2007,450380,207077,243303,191880,112762,79118,59316,16685,42631,1900,1050,850,39713,16055,23657,10215,4155,6060,28697,11360,17337,118659,45009,73650
2008,448900,203412,245488,187951,108859,79092,61284,17266,44018,1807,1019,788,39887,15822,24065,10261,4011,6250,28463,11365,17098,119247,45069,74178
2009,464416,209090,255326,184860,104882,79978,67984,21675,46309,2178,1317,861,41834,16628,25205,10737,4228,6509,29261,10964,18296,127563,49396,78168
2010,465091,212135,252956,182211,104952,77259,67621,22061,45559,3141,2195,946,42464,17678,24787,10608,4197,6411,31469,11833,19636,127576,49219,78357
2011,447279,198883,248396,174941,98696,76246,64855,20880,43974,2835,1921,914,39832,15419,24413,10393,3948,6444,30800,11505,19295,123623,46513,77110
2012,437705,187983,249722,172629,97086,75544,65998,21000,44998,2717,1813,904,38168,13323,24845,10266,3881,6385,31399,10317,21082,116529,40564,75965
2013,427708,179422,248286,167611,91622,75988,67255,22303,44952,2786,1946,840,36290,12354,23936,10216,3960,6255,29065,8625,20440,114486,38612,75874
2014,433085,179929,253155,170031,90933,79098,70199,24187,46011,3096,2404,692,35983,11615,24368,10768,4542,6226,28259,8321,19938,114748,37926,76822
2015,447065,188632,258432,178469,98092,80378,71758,24732,47025,2910,2606,304,37413,12250,25163,10664,4179,6485,28937,8751,20186,116913,38022,78891
2016,448309,183651,264658,181014,98511,82504,71647,23338,48308,3945,3695,250,36749,11223,25527,10125,3612,6513,28632,8081,20551,116196,35191,81005
2017,440503,174021,266481,176903,93815,83087,69920,21261,48660,4673,4428,245,37085,11449,25636,10199,3673,6526,28690,7981,20709,113034,31416,81618
