,All (Total),All (Capital),All (O&M),Highways (Total),Highways (Capital),Highways (O&M),Mass Transit (Total),Mass Transit (Capital),Mass Transit (O&M),Rail (Total),Rail (Capital),Rail (O&M),Aviation (Total),Aviation (Capital),Aviation (O&M),Water Transportation (Total),Water Transportation (Capital),Water Transportation (O&M),Water Resources (Total),Water Resources (Capital),Water Resources (O&M),Water Utilities (Total),Water Utilities (Capital),Water Utilities (O&M)
1956,"21,635","16,211","5,424","10,206","9,695",511,0,0,0,87,0,87,"2,014",351,"1,663",963,322,641,"8,366","5,844","2,522",0,0,0
1957,"25,008","18,886","6,122","12,372","11,884",488,0,0,0,105,0,105,"2,390",547,"1,843",826,289,537,"9,294","6,146","3,149",21,21,0
1958,"33,013","28,150","4,862","19,231","19,037",194,0,0,0,139,0,139,"3,347","1,162","2,185",940,354,586,"9,166","7,408","1,758",190,190,0
1959,"52,007","44,194","7,813","33,416","33,094",321,0,0,0,115,0,115,"5,216","2,018","3,198",934,319,615,"11,945","8,382","3,563",381,381,0
1960,"58,568","50,215","8,353","38,899","38,413",486,0,0,0,95,0,95,"5,943","2,133","3,810","1,090",453,637,"12,110","8,785","3,325",431,431,0
1961,"57,336","48,119","9,217","34,831","34,468",363,0,0,0,92,0,92,"7,453","2,796","4,657","1,122",460,663,"13,367","9,925","3,442",470,470,0
1962,"58,708","50,060","8,649","36,485","35,916",569,9,0,9,232,0,232,"8,149","2,813","5,337",857,286,571,"12,531","10,600","1,931",445,445,0
1963,"62,042","52,766","9,277","38,509","37,890",618,42,24,17,104,0,104,"8,053","2,262","5,790",924,350,574,"13,865","11,693","2,172",546,546,0
1964,"69,125","59,816","9,309","45,548","44,920",628,67,59,8,124,0,124,"7,900","1,994","5,906","1,077",431,646,"13,718","11,721","1,996",690,690,0
1965,"73,288","62,901","10,387","48,902","48,195",707,133,126,8,231,0,231,"8,013","1,746","6,268","1,203",534,668,"14,087","11,580","2,506",720,720,0
1966,"71,428","60,885","10,543","46,122","45,706",416,209,171,38,199,0,199,"7,702","1,272","6,429","1,324",683,641,"15,052","12,232","2,819",821,821,0
