,All (Total),All (Capital),All (O&M),Highways (Total),Highways (Capital),Highways (O&M),Mass Transit (Total),Mass Transit (Capital),Mass Transit (O&M),Rail (Total),Rail (Capital),Rail (O&M),Aviation (Total),Aviation (Capital),Aviation (O&M),Water Transportation (Total),Water Transportation (Capital),Water Transportation (O&M),Water Resources (Total),Water Resources (Capital),Water Resources (O&M),Water Utilities (Total),Water Utilities (Capital),Water Utilities (O&M)
1956,"137,628","80,678","56,950","95,622","61,892","33,729","8,328","1,415","6,913",0,0,0,"2,308","1,545",763,"2,516","1,137","1,380","1,870",343,"1,526","26,983","14,346","12,638"
1957,"145,322","84,656","60,666","101,725","65,185","36,540","8,136","1,459","6,677",0,0,0,"2,940","2,042",898,"2,190","1,068","1,122","2,603",499,"2,104","27,729","14,403","13,326"
1958,"155,625","93,409","62,216","110,625","72,582","38,043","8,319","1,622","6,697",0,0,0,"3,359","3,074",285,"2,454","1,356","1,098","3,310",707,"2,603","27,558","14,068","13,490"
1959,"172,713","107,882","64,831","123,391","84,498","38,893","8,438","1,255","7,183",0,0,0,"3,858","2,830","1,028","2,687","1,527","1,160","4,066","1,008","3,058","30,274","16,765","13,509"
1960,"172,618","106,459","66,158","122,705","83,204","39,501","8,714","1,180","7,534",0,0,0,"4,316","3,049","1,266","2,662","1,370","1,292","1,870",322,"1,548","32,351","17,334","15,017"
1961,"180,398","111,813","68,585","127,158","85,523","41,636","8,561","1,539","7,022",0,0,0,"5,362","4,027","1,335","3,165","1,929","1,236","1,995",450,"1,545","34,157","18,345","15,811"
1962,"183,814","115,592","68,222","130,374","89,860","40,514","8,495","1,145","7,350",0,0,0,"4,659","3,220","1,439","3,109","1,826","1,283","2,234",484,"1,751","34,943","19,057","15,887"
1963,"193,821","121,539","72,282","136,509","93,950","42,560","9,636","1,981","7,655",0,0,0,"4,314","2,727","1,587","2,975","1,866","1,109","3,001",807,"2,194","37,387","20,209","17,178"
1964,"199,267","126,797","72,470","140,430","98,193","42,237","10,003","1,829","8,174",0,0,0,"4,180","2,572","1,607","3,003","1,658","1,345","3,493","1,179","2,314","38,158","21,366","16,792"
1965,"205,130","130,924","74,206","143,029","99,894","43,135","11,616","2,761","8,855",0,0,0,"4,683","2,978","1,705","2,786","1,491","1,295","2,783",713,"2,070","40,233","23,088","17,146"
1966,"208,272","130,850","77,422","142,414","98,294","44,120","10,854","2,310","8,545",0,0,0,"4,525","2,748","1,777","3,078","1,757","1,322","5,211","1,584","3,627","42,189","24,158","18,031"
1967,"213,134","134,386","78,747","148,668","103,762","44,906","11,950","3,247","8,703",0,0,0,"4,657","2,886","1,771","2,966","1,615","1,350","6,166","2,125","4,041","38,727","20,751","17,976"
1968,"213,749","133,978","79,771","146,662","101,756","44,907","13,704","4,208","9,496",0,0,0,"4,868","3,097","1,771","3,561","2,224","1,338","5,883","1,946","3,938","39,070","20,747","18,322"
1969,"217,389","136,552","80,836","147,193","101,759","45,434","14,336","4,904","9,431",0,0,0,"6,348","4,264","2,084","3,827","2,335","1,492","5,106","1,503","3,603","40,578","21,786","18,792"
1970,"213,627","129,787","83,840","143,103","96,639","46,464","13,098","2,821","10,277",0,0,0,"7,605","5,325","2,280","3,465","1,940","1,526","4,931","1,338","3,592","41,426","21,725","19,701"
1971,"218,972","133,057","85,915","145,507","98,261","47,247","14,012","3,172","10,839",0,0,0,"7,710","5,221","2,489","3,646","2,116","1,530","4,818","1,271","3,547","43,278","23,015","20,263"
