,All (Total),All (Capital),All (O&M),Highways (Total),Highways (Capital),Highways (O&M),Mass Transit (Total),Mass Transit (Capital),Mass Transit (O&M),Rail (Total),Rail (Capital),Rail (O&M),Aviation (Total),Aviation (Capital),Aviation (O&M),Water Transportation (Total),Water Transportation (Capital),Water Transportation (O&M),Water Resources (Total),Water Resources (Capital),Water Resources (O&M),Water Utilities (Total),Water Utilities (Capital),Water Utilities (O&M)
1956,"149,186","86,813","62,373","96,133","61,892","34,240","8,328","1,415","6,913",87,0,87,"4,101","1,675","2,426","3,479","1,458","2,021","10,074","6,026","4,048","26,983","14,346","12,638"
1957,"157,985","91,253","66,732","102,157","65,185","36,972","8,136","1,459","6,677",105,0,105,"5,075","2,334","2,741","3,016","1,357","1,659","11,767","6,515","5,253","27,729","14,403","13,326"
1958,"168,629","101,645","66,983","110,724","72,582","38,142","8,319","1,622","6,697",139,0,139,"6,185","3,715","2,470","3,394","1,710","1,684","12,310","7,949","4,361","27,558","14,068","13,490"
1959,"190,156","117,671","72,486","123,554","84,498","39,057","8,438","1,255","7,183",115,0,115,"8,373","4,147","4,226","3,621","1,846","1,774","15,782","9,161","6,621","30,274","16,765","13,509"
1960,"191,103","116,783","74,319","122,999","83,204","39,795","8,714","1,180","7,534",95,0,95,"9,543","4,467","5,076","3,752","1,824","1,928","13,648","8,775","4,873","32,351","17,334","15,017"
1961,"201,481","123,841","77,641","127,361","85,523","41,838","8,561","1,539","7,022",92,0,92,"11,981","5,989","5,992","4,288","2,389","1,899","15,042","10,055","4,987","34,157","18,345","15,811"
1962,"205,116","128,425","76,691","131,033","90,118","40,915","8,504","1,145","7,359",232,0,232,"12,070","5,294","6,775","3,966","2,112","1,854","14,368","10,699","3,669","34,943","19,057","15,887"
1963,"216,065","134,879","81,185","137,178","94,175","43,003","9,654","1,981","7,673",104,0,104,"11,730","4,353","7,378","3,899","2,216","1,682","16,113","11,945","4,168","37,387","20,209","17,178"
1964,"221,298","139,815","81,482","141,037","98,378","42,659","10,011","1,829","8,182",124,0,124,"11,313","3,800","7,514","4,081","2,089","1,991","16,573","12,354","4,219","38,158","21,366","16,792"
1965,"227,875","143,647","84,228","143,731","100,110","43,621","11,624","2,761","8,863",231,0,231,"11,886","3,914","7,972","3,989","2,025","1,963","16,181","11,749","4,432","40,233","23,088","17,146"
1966,"231,527","144,049","87,478","142,815","98,511","44,303","10,893","2,310","8,583",199,0,199,"11,649","3,443","8,206","4,402","2,439","1,963","19,381","13,188","6,193","42,189","24,158","18,031"
1967,"236,491","147,388","89,102","149,030","103,938","45,092","11,972","3,247","8,725",306,0,306,"12,114","3,518","8,597","4,591","2,502","2,089","19,750","13,433","6,317","38,727","20,751","17,976"
1968,"236,438","145,731","90,707","147,428","101,913","45,515","13,718","4,208","9,510",198,0,198,"12,155","3,667","8,488","5,330","3,234","2,095","18,539","11,961","6,578","39,070","20,747","18,322"
1969,"239,074","146,625","92,449","148,082","101,947","46,135","14,376","4,904","9,471",194,0,194,"13,877","4,992","8,885","5,412","3,159","2,253","16,556","9,836","6,720","40,578","21,786","18,792"
1970,"234,384","138,517","95,866","144,031","96,801","47,231","13,122","2,821","10,301",183,0,183,"15,853","6,196","9,657","4,865","2,579","2,286","14,905","8,397","6,508","41,426","21,725","19,701"
1971,"243,035","143,061","99,974","146,497","98,409","48,088","14,134","3,172","10,962",663,0,663,"17,688","6,387","11,301","4,891","2,598","2,293","15,883","9,478","6,405","43,278","23,015","20,263"
1972,"247,982","146,091","101,891","146,180","97,667","48,513","15,423","3,415","12,007",800,0,800,"18,762","7,872","10,890","4,887","2,528","2,359","15,730","9,607","6,123","46,200","25,000","21,200"
1973,"239,748","135,851","103,897","133,029","84,397","48,632","18,439","5,992","12,446",928,0,928,"19,398","8,754","10,644","5,241","2,718","2,523","15,534","8,853","6,681","47,179","25,136","22,043"
1974,"223,557","117,849","105,708","120,110","71,163","48,948","17,602","4,731","12,871","1,155",240,914,"16,467","5,293","11,174","5,246","2,730","2,517","14,498","8,518","5,979","48,478","25,174","23,305"
1975,"236,010","120,910","115,099","121,699","70,491","51,208","20,873","5,401","15,472","4,020",920,"3,100","16,214","4,907","11,306","5,152","2,479","2,673","15,189","8,562","6,627","52,863","28,151","24,713"
1976,"244,654","125,213","119,441","125,725","73,255","52,470","21,697","6,228","15,469","6,209","2,642","3,567","16,638","4,782","11,856","4,759","2,012","2,746","14,931","8,070","6,862","54,695","28,224","26,471"
1977,"252,300","122,369","129,931","120,723","66,266","54,457","26,718","7,760","18,957","8,134","4,479","3,655","16,455","4,176","12,279","4,957","1,933","3,024","15,965","8,900","7,065","59,348","28,854","30,494"
1978,"261,936","125,511","136,425","127,957","70,965","56,991","26,539","7,200","19,338","8,093","4,182","3,911","18,047","5,287","12,760","5,035","1,954","3,081","16,270","8,204","8,066","59,996","27,718","32,278"
1979,"283,490","142,650","140,839","138,779","80,901","57,878","28,734","7,933","20,801","8,464","5,409","3,055","19,034","6,172","12,861","5,853","2,679","3,174","17,681","8,297","9,384","64,947","31,259","33,688"
1980,"292,330","147,367","144,964","140,088","82,536","57,552","31,314","8,566","22,748","8,725","5,095","3,630","20,386","7,033","13,353","6,263","2,995","3,268","18,719","8,880","9,839","66,835","32,261","34,575"
1981,"282,672","129,627","153,045","126,020","70,044","55,976","34,433","9,459","24,974","10,977","1,562","9,415","19,554","6,096","13,458","6,493","3,076","3,417","17,326","7,788","9,538","67,869","31,602","36,267"
1982,"265,432","115,932","149,500","116,461","60,320","56,141","36,696","9,994","26,702","6,054","1,623","4,431","18,082","5,424","12,658","6,131","2,661","3,470","15,471","7,771","7,701","66,537","28,140","38,397"
1983,"271,529","118,179","153,350","120,233","62,218","58,015","39,213","11,461","27,752","3,798","1,327","2,471","19,342","5,879","13,463","6,586","3,014","3,572","15,518","7,349","8,169","66,838","26,931","39,907"
1984,"284,484","128,702","155,781","130,531","71,415","59,116","40,521","12,593","27,929","4,254","1,411","2,842","20,962","7,116","13,846","6,298","2,785","3,513","15,694","7,748","7,946","66,224","25,634","40,589"
1985,"304,630","144,383","160,247","144,909","83,324","61,584","41,149","12,714","28,435","2,903","1,115","1,787","22,349","8,146","14,203","6,515","3,023","3,492","16,461","8,089","8,372","70,345","27,972","42,373"
1986,"321,170","154,625","166,545","152,251","88,623","63,627","42,362","12,712","29,650","2,275",443,"1,833","24,527","10,101","14,427","6,759","3,305","3,453","16,611","7,936","8,676","76,385","31,506","44,879"
1987,"330,489","160,624","169,865","153,645","89,771","63,874","42,885","12,728","30,157","2,066",460,"1,606","25,966","11,205","14,762","6,650","3,075","3,575","17,559","8,374","9,185","81,718","35,012","46,706"
1988,"341,998","168,691","173,306","158,139","95,775","62,364","43,123","12,267","30,856","1,371",0,"1,371","27,559","12,145","15,414","6,826","3,179","3,647","21,064","9,092","11,971","83,917","36,234","47,683"
1989,"349,447","172,457","176,989","161,145","98,224","62,921","43,578","13,475","30,103","1,380",-17,"1,397","28,684","12,094","16,591","6,648","2,953","3,695","21,964","9,589","12,374","86,049","36,141","49,909"
1990,"357,819","177,858","179,961","163,549","99,725","63,824","44,623","14,800","29,823","1,180",-129,"1,309","30,430","13,242","17,188","6,662","2,926","3,736","22,542","10,189","12,353","88,833","37,106","51,727"
1991,"367,512","184,543","182,969","167,308","103,449","63,859","46,407","14,495","31,911","1,772",581,"1,191","32,219","14,429","17,790","6,436","2,890","3,546","21,588","9,267","12,321","91,782","39,431","52,352"
1992,"374,777","187,007","187,770","168,359","104,188","64,171","47,117","14,413","32,705","2,043",904,"1,138","36,062","17,320","18,742","6,140","2,471","3,669","22,633","8,798","13,835","92,424","38,912","53,511"
1993,"378,953","187,391","191,562","170,257","104,941","65,316","46,102","14,581","31,520","1,775",654,"1,121","38,865","19,624","19,241","6,628","2,947","3,681","22,040","7,838","14,202","93,286","36,806","56,480"
1994,"394,169","192,695","201,474","176,898","109,905","66,993","53,179","18,631","34,549","1,802",753,"1,049","38,982","19,205","19,776","7,240","3,543","3,697","22,913","7,600","15,313","93,154","33,058","60,097"
1995,"399,873","194,141","205,732","179,960","111,458","68,502","55,108","19,108","36,000","2,242","1,180","1,062","35,410","16,470","18,941","6,503","2,720","3,783","24,024","8,609","15,415","96,626","34,597","62,029"
1996,"399,238","191,245","207,993","178,332","109,188","69,144","53,605","18,130","35,475","2,131","1,273",857,"35,773","15,838","19,936","6,832","3,071","3,761","24,247","8,605","15,642","98,318","35,140","63,178"
1997,"405,660","191,981","213,679","180,315","109,532","70,783","53,969","17,242","36,727","2,331","1,512",819,"37,038","16,566","20,472","6,964","3,067","3,897","24,231","7,659","16,572","100,812","36,403","64,410"
1998,"414,634","197,590","217,044","186,925","114,610","72,315","51,122","16,645","34,478","2,159","1,386",773,"38,212","16,807","21,405","7,895","3,004","4,891","26,449","8,870","17,579","101,871","36,268","65,602"
1999,"427,946","209,473","218,473","194,084","120,156","73,927","52,249","16,947","35,301",883,663,220,"40,534","18,802","21,732","8,305","3,413","4,891","27,550","10,567","16,983","104,342","38,925","65,417"
2000,"438,199","218,375","219,824","200,355","124,136","76,219","54,832","18,976","35,855","1,494","1,247",247,"40,280","18,633","21,647","9,590","4,732","4,859","28,555","12,772","15,783","103,093","37,878","65,215"
2001,"457,004","228,109","228,894","205,220","128,198","77,022","56,295","18,401","37,894","1,423","1,181",242,"45,180","21,366","23,814","12,814","7,449","5,365","32,506","14,420","18,086","103,566","37,095","66,471"
2002,"474,089","239,250","234,839","212,095","133,296","78,799","62,358","23,214","39,144","2,426","2,140",286,"46,204","21,613","24,590","10,620","4,477","6,143","30,185","12,721","17,463","110,202","41,789","68,413"
2003,"480,771","243,237","237,534","209,604","130,223","79,381","66,895","27,011","39,885","1,971","1,007",964,"46,656","22,003","24,653","11,914","6,358","5,556","30,168","11,640","18,528","113,563","44,994","68,569"
2004,"469,231","236,716","232,515","204,449","127,065","77,384","66,891","27,141","39,749","2,275",915,"1,360","44,282","21,614","22,667","9,140","3,727","5,413","27,822","10,948","16,874","114,373","45,306","69,067"
2005,"456,265","221,236","235,029","199,158","121,119","78,040","63,264","22,615","40,649","2,067",900,"1,167","42,777","19,256","23,521","9,556","3,589","5,967","27,423","10,292","17,131","112,019","43,465","68,555"
