,2005,2010,2011,2012,2013,2014,2015,2016,2017
Australia,20176844,22031750,22340024,22723904,23130931,23475349,23777777,24210809,24598933
Austria,8201359,8351643,8375164,8408121,8451860,8506889,8584926,8700471,8772865
Belgium,10445852,10839905,11000638,11075889,11137974,11180840,11237274,11311117,11351727
Canada,32257929,33927936,34320422,34735077,35139713,35538584,35886196,36259928,36447341
Chile,16183489,17063927,17254159,17443491,17611902,17787617,17971423,18167147,18419192
Czech Republic,10198855,10462088,10486731,10505445,10516125,10512419,10538275,10553843,10578820
Denmark,5411405,5534738,5560628,5580516,5602628,5627235,5659715,5707251,5748769
Estonia,1358850,1333290,1329660,1325217,1320174,1315819,1314870,1315944,1315635
Finland,5236611,5351427,5375276,5401267,5426674,5451270,5471753,5487308,5503297
France,62772870,64658856,64978721,65276983,65600350,66165980,66458153,66638391,66804121
Germany,82500849,81802257,80222065,80327900,80523746,80767463,81197537,82175684,82521653
Greece,10969912,11119289,11123392,11086406,11003615,10926807,10858018,10783748,10768193
Hungary,10097549,10014324,9985722,9931925,9908798,9877365,9855571,9830485,9797561
Iceland,293577,317630,318452,319575,321857,325671,329100,332529,338349
Ireland,4111672,4549428,4570881,4589287,4609779,4637852,4677627,4726286,4784383
Israel,6990722,7695072,7836592,7984455,7984456,8134460,8296899,8463427,8628589
Italy,57874753,59190143,59364690,59394207,59685227,60782668,60795612,60665551,60589445
Japan,127687000,127510000,128057000,127799000,127515000,127298000,127083000,127095000,126932772
Korea,48184561,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51446201
Latvia,2249724,2120504,2074605,2044813,2023825,2001468,1986096,1968957,1950116
Lithuania,3355220,3141976,3052588,3003641,2971905,2943472,2921262,2888558,2847904
Luxembourg,461230,502066,511840,524853,537039,549680,562958,576249,590667
Mexico,105951569,112852594,114255555,115682868,117053750,118395054,119713203,121005815,122273473
Netherlands,16305526,16574989,16655799,16730348,16779575,16829289,16900726,16979120,17081507
New Zealand,4133890,4350720,4383920,4408010,4464070,4509720,4595750,4693200,4793920
Norway,4606363,4858199,4920305,4985870,5051275,5107970,5166493,5210721,5258317
Poland,38173835,38022869,38062718,38063792,38062535,38017856,38005614,37967209,37972964
Portugal,10494672,10573479,10572721,10542398,10487289,10427301,10374822,10341330,10309573
Slovak Republic,5372685,5390410,5392446,5404322,5410836,5415949,5421349,5426252,5435343
Slovenia,1997590,2046976,2050189,2055496,2058821,2061085,2062874,2064188,2065895
Spain,43296338,46486619,46667174,46818219,46727890,46512199,46449565,46440099,46528024
Sweden,9011392,9340682,9415570,9482855,9555893,9644864,9747355,9851017,9995153
Switzerland,7415102,7785806,7870134,7954662,8039060,8139631,8237666,8327126,8419550
Turkey,71607500,72561312,73722988,74724269,75627384,76667864,77695904,78741053,79814871
United Kingdom,60182050,62510197,63022532,63495088,63905342,64351203,64853393,65379044,65844142
United States,292805298,306771529,309994327,312238050,314549418,316775507,319528204,321553940,324076293
Brazil,..,..,..,198429149,200229025,201974347,203665062,205301437,206882729
Colombia,43285635,45918108,46406653,46881475,47121089,47661787,48203405,48747708,49291609
Costa Rica,4247842,4545278,4600474,4654122,4706402,4757579,4832234,4890379,4947490
Russia,273499000,141914509,142856536,270535000,143347059,143666931,146267288,146544710,146804372
