,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,8178700,8421700,8636500,8815300,8986500,9199700,9425500,9640200,9842400,10056400,10275000,10508200,10700500,10906900,11121600,11340900,11599500,11799080,12008640,12263010,12507350,13067270,13303660,13504540,13722570,13893000,14033080,14192230,14359260,14515730,14695360,14923260,15184250,15393470,15579390,15788310,16018350,16263870,16532160,16814420,17065130,17284040,17479000,17635000,17805000,18005000,18225000,18423000,18608000,18812000,19029000,19275000,19495000,19721000,19933000,20177000,20451000,20828000,21249000,21692000,22032000,22340000,22728000,23126000,23491000
Austria,6935100,6935451,6927772,6932483,6940209,6946885,6952359,6965860,6987358,7014331,7047539,7086298,7129864,7175811,7223801,7270888,7322066,7376998,7415402,7441055,7467086,7500481,7544201,7586114,7599038,7578902,7565525,7568430,7562304,7549424,7549432,7568710,7574139,7561910,7561434,7564984,7569794,7574585,7585317,7619566,7677850,7754890,7840709,7905632,7936117,7948278,7959016,7968041,7976788,7992323,8011566,8042293,8082121,8118245,8169441,8225278,8267948,8295189,8321541,8341483,8361069,8388534,8426311,8468570,..
Belgium,8639369,8678386,8730405,8777873,8819374,8868451,8923800,8989050,9052650,9103712,9153489,9183947,9220577,9289770,9378113,9463667,9527807,9580990,9618755,9646032,9655549,9673161,9711114,9741720,9772419,9800700,9818227,9830357,9839533,9848382,9859242,9858981,9856303,9855520,9855372,9858308,9861823,9870233,9901664,9937697,9967378,10004490,10045160,10084480,10115600,10136810,10156640,10181250,10203010,10226420,10251250,10286570,10332780,10376130,10421140,10478620,10547960,10625700,10709970,10796490,10920270,11047740,11128250,..,..
Canada,14019000,14318000,14776000,15170000,15621000,16040000,16431000,16971000,17450000,17861000,18256000,18635000,18989000,19347000,19720000,20084000,20421000,20795000,21129000,21440000,21746000,21962000,22218000,22492000,22808000,23143000,23450000,23726000,23963000,24202000,24516000,24820000,25117000,25366000,25607000,25842000,26100000,26447000,26792000,27277000,27691140,28037420,28371260,28684760,29000660,29302310,29610220,29905950,30155170,30401290,30685730,31019020,31353660,31639670,31940680,32245210,32576070,32927520,33317660,33726920,34126550,34483980,34880490,..,..
Chile,6081931,6218333,6354736,6491137,6627540,6763940,6939809,7115675,7291542,7467409,7643277,7843945,8044614,8245284,8445953,8646622,8831223,9015825,9200427,9385028,9569631,9738347,9907065,10075780,10244500,10413220,10565410,10717600,10869790,11021980,11174170,11359770,11545370,11730970,11916570,12102170,12317490,12532820,12748140,12963460,13178780,13422010,13665240,13908470,14151710,14394940,14595500,14796080,14996650,15197210,15397780,15571680,15745580,15919480,16093380,16267280,16432670,16598070,16763470,16928870,17094280,17248450,17402630,17556820,..
Czech Republic,8925122,9023170,9125183,9220908,9290617,9365969,9442040,9513758,9574650,9618554,9659818,9588016,9621808,9668741,9730019,9785102,9826188,9854241,9877632,9896695,9805157,9830602,9868379,9919519,9994761,10062370,10128220,10189310,10245690,10296490,10326790,10303210,10314320,10322820,10330480,10336740,10340740,10348830,10356360,10362260,10362740,10308680,10317810,10330610,10336160,10330760,10315350,10303640,10294940,10282780,10272500,10224190,10200770,10201650,10206920,10234090,10266650,10322690,10429690,10491490,10517250,10496670,10509290,10510720,10524780
Denmark,4268468,4300383,4332363,4369277,4406575,4439006,4466520,4489869,4516287,4548658,4579603,4611687,4647727,4684483,4722072,4759012,4797381,4835354,4864883,4891860,4928757,4963126,4991596,5021861,5045297,5059862,5072596,5088419,5104248,5116801,5123027,5121572,5117810,5114297,5111619,5113691,5120534,5127024,5129516,5132594,5140939,5154298,5171370,5188628,5206180,5233373,5263074,5284991,5304219,5321799,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,..
Estonia,1036369,1061635,1083101,1106488,1128927,1144216,1157900,1171863,1185073,1198895,1211537,1225076,1241622,1258857,1277086,1294566,1308596,1318946,1331213,1345249,1360075,1376955,1392518,1405951,1418169,1429351,1439576,1450211,1460188,1468333,1477218,1487666,1498414,1508745,1518616,1528781,1540190,1552220,1561899,1568130,1569174,1561313,1533090,1494127,1462513,1436633,1415594,1399535,1386155,1380619,1379342,1373510,1367507,1361564,1356152,1351231,1346034,1342330,1340264,1338497,1336886,1334947,1329301,1320174,..
Finland,4009000,4048000,4088000,4141000,4186000,4235000,4282000,4325000,4361000,4396000,4427000,4461000,4491000,4524000,4548000,4565000,4580000,4608000,4624000,4624000,4605000,4613000,4639000,4667000,4690000,4712000,4728000,4738000,4753000,4763000,4780000,4801000,4828000,4856000,4881000,4902000,4917000,4931000,4948000,4965000,4987000,5014000,5039000,5066000,5088000,5107000,5126000,5137000,5156000,5165000,5175000,5187000,5200000,5211000,5227000,5248000,5267000,5290000,5313000,5338000,5362000,5386000,5413000,5440000,..
France,41828710,42155530,42459670,42751750,43056510,43427670,43843070,44310860,44788850,45239730,45684220,46162830,46997700,47816220,48310420,48757800,49163660,49548300,49915400,50317980,50772220,51251090,51700910,52118300,52460360,52699170,52908670,53145280,53376320,53606230,53880010,54181820,54492490,54772420,55026080,55284270,55546510,55823960,56117980,56423400,56708830,56975600,57239850,57467080,57658770,57844250,58025990,58207490,58397790,58677400,59062380,59476240,59893870,60303630,60734340,61181500,61597480,61965050,62300290,62615470,62917790,63223160,63514000,63786140,64062250
