Country,Variable,Measure,Year,Unit Code,Unit,PowerCode Code,PowerCode,Value,Flags,,,,,,,
Albania,Road infrastructure investment,Constant Euro,1996,EUR,Euro,0,Units,28218472.9,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,1997,EUR,Euro,0,Units,27386205.65,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,1998,EUR,Euro,0,Units,49079859.29,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,1999,EUR,Euro,0,Units,103228037.2,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2000,EUR,Euro,0,Units,126401368,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2001,EUR,Euro,0,Units,114355588.9,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2002,EUR,Euro,0,Units,70019478.3,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2003,EUR,Euro,0,Units,66797427.79,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2004,EUR,Euro,0,Units,90153603.53,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2005,EUR,Euro,0,Units,64754408.98,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2006,EUR,Euro,0,Units,163179287.9,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2007,EUR,Euro,0,Units,231271004.5,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2008,EUR,Euro,0,Units,447573272.5,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2009,EUR,Euro,0,Units,469003996.7,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2010,EUR,Euro,0,Units,241902743.6,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2011,EUR,Euro,0,Units,213289787.1,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2012,EUR,Euro,0,Units,180597088.1,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2013,EUR,Euro,0,Units,233677021.7,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2014,EUR,Euro,0,Units,191462593.4,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2015,EUR,Euro,0,Units,177240384.6,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2016,EUR,Euro,0,Units,86648967.21,,,,,,,,
Albania,Road infrastructure investment,Constant Euro,2017,EUR,Euro,0,Units,150011288,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,1998,EUR,Euro,0,Units,4900640.216,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,1999,EUR,Euro,0,Units,3953948.98,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2000,EUR,Euro,0,Units,4478199.786,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2001,EUR,Euro,0,Units,6065753.429,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2002,EUR,Euro,0,Units,7413247.615,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2003,EUR,Euro,0,Units,6337683.685,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2004,EUR,Euro,0,Units,6760163.581,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2005,EUR,Euro,0,Units,6751463.352,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2006,EUR,Euro,0,Units,5281176.935,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2007,EUR,Euro,0,Units,5521038.884,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2008,EUR,Euro,0,Units,7211631.908,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2009,EUR,Euro,0,Units,8422077.709,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2010,EUR,Euro,0,Units,6892209.189,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2011,EUR,Euro,0,Units,7797815.592,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2012,EUR,Euro,0,Units,6644616.622,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2013,EUR,Euro,0,Units,8727413.191,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2014,EUR,Euro,0,Units,15163104.8,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2015,EUR,Euro,0,Units,8281268.718,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2016,EUR,Euro,0,Units,12641321.31,,,,,,,,
Albania,Road infrastructure maintenance,Constant Euro,2017,EUR,Euro,0,Units,12822559.13,,,,,,,,
Albania,Total road spending,Constant Euro,1998,EUR,Euro,0,Units,53980499.51,,,,,,,,
Albania,Total road spending,Constant Euro,1999,EUR,Euro,0,Units,107181986.2,,,,,,,,
Albania,Total road spending,Constant Euro,2000,EUR,Euro,0,Units,130879567.8,,,,,,,,
Albania,Total road spending,Constant Euro,2001,EUR,Euro,0,Units,120421342.3,,,,,,,,
Albania,Total road spending,Constant Euro,2002,EUR,Euro,0,Units,77432725.92,,,,,,,,
Albania,Total road spending,Constant Euro,2003,EUR,Euro,0,Units,73135111.48,,,,,,,,
Albania,Total road spending,Constant Euro,2004,EUR,Euro,0,Units,96913767.11,,,,,,,,
Albania,Total road spending,Constant Euro,2005,EUR,Euro,0,Units,71505872.33,,,,,,,,
Albania,Total road spending,Constant Euro,2006,EUR,Euro,0,Units,168460464.8,,,,,,,,
Albania,Total road spending,Constant Euro,2007,EUR,Euro,0,Units,236792043.4,,,,,,,,
Albania,Total road spending,Constant Euro,2008,EUR,Euro,0,Units,454784904.4,,,,,,,,
Albania,Total road spending,Constant Euro,2009,EUR,Euro,0,Units,477426074.4,,,,,,,,
Albania,Total road spending,Constant Euro,2010,EUR,Euro,0,Units,248794952.8,,,,,,,,
Albania,Total road spending,Constant Euro,2011,EUR,Euro,0,Units,221087602.7,,,,,,,,
Albania,Total road spending,Constant Euro,2012,EUR,Euro,0,Units,187241704.7,,,,,,,,
Albania,Total road spending,Constant Euro,2013,EUR,Euro,0,Units,242404434.9,,,,,,,,
Albania,Total road spending,Constant Euro,2014,EUR,Euro,0,Units,206625698.2,,,,,,,,
Albania,Total road spending,Constant Euro,2015,EUR,Euro,0,Units,185521653.3,,,,,,,,
Albania,Total road spending,Constant Euro,2016,EUR,Euro,0,Units,99290288.52,,,,,,,,
Albania,Total road spending,Constant Euro,2017,EUR,Euro,0,Units,162833847.1,,,,,,,,
Armenia,Road infrastructure investment,Constant Euro,2001,EUR,Euro,0,Units,1847935.718,,,,,,,,
