State,SouthBoundary,NorthBoundary,EastBoundary,WestBoundary
Alabama,30.21666667,35,-84.85,-88.46666667
Alaska,54.66666667,71.83333333,-130,173
Arizona,31.33333333,37,-109.05,-114.8333333
Arkansas,33,36.5,-89.68333333,-94.7
California,32.5,42,-114.1333333,-124.4
Colorado,37,41,-102,-109
Connecticut,40.96666667,42.05,-71.78333333,-73.73333333
Delaware,38.45,39.83333333,-75.03333333,-75.78333333
Florida,24.5,31,-79.8,-87.63333333
Georgia,30,35,-81,-85
Hawaii,16.91666667,23,-154.6666667,-162
Idaho,42,49,-111,-117
Illinois,36.96666667,42.5,-87.5,-91.5
Indiana,37.78333333,41.76666667,-84.81666667,-88.06666667
Iowa,40.6,43.5,-89.08333333,-96.51666667
Kansas,37,40,-94.63333333,-102.0261111
Kentucky,36.5,39.15,-81.96666667,-89.56666667
Louisiana,29,33,-89,-94
Maine,43.06666667,47.46666667,-66.95,-71.11666667
Maryland,37.88333333,39.71666667,-75.06666667,-79.55
Massachusetts,41.16666667,42.88333333,-69.95,-73.5
Michigan,41.68333333,48.25,-82.43333333,-90.51666667
Minnesota,43.56666667,49.38333333,-89.56666667,-97.2
Mississippi,30.21666667,35,-88.11666667,-91.68333333
Missouri,36,40.58333333,-89.1,-95.7
Montana,44.43333333,49,-104.0333333,-116.0333333
Nebraska,40,43,-95.41666667,-104
Nevada,35,42,-114,-120
New Hampshire,42.66666667,45.3,-70.61666667,-72
New Jersey,38.91666667,41.35638889,-73.89416667,-75.58333333
New Mexico,31.33333333,37,-103,-109
New York,40.49444444,45.01166667,-71.79027778,-79.765
North Carolina,34,36.35,-75.5,-84.25
North Dakota,45.91666667,49,-97,-104
Ohio,38.45,41.96666667,-80.53333333,-84.81666667
Oklahoma,33.58333333,37,-94.48333333,-103
Oregon,42,46.25,-116.75,-124.5
Pennsylvania,39.71666667,42,-74.71666667,-80.51666667
Rhode Island,41.3,42.01666667,-71.13333333,-71.88333333
South Carolina,32.075,35.2,-78.00833333,-83.33333333
South Dakota,42.49166667,45.93333333,-97.47583333,-104.05
Tennessee,35,36.68333333,-81.61666667,-90.46666667
Texas,25.83333333,36.5,-93.51666667,-106.6333333
Utah,37,42,-109,-114
Vermont,42.73333333,45.01194444,-71.46666667,-73.43333333
Virginia,36.51666667,39.61666667,-75.21666667,-83.61666667
Washington,45.53333333,49,-116.95,-124.8
West Virginia,37.16666667,40.66666667,-77.66666667,-82.66666667
Wisconsin,42.5,47.05,-86.81666667,-92.9
Wyoming,41,45,-104.05,-111.05
