State,Latitude,Longitude,State_Abbreviation,Area_SqMi,Area_Km
Alabama,32.7794,-86.8287,AL,52420,135767
Alaska,64.0685,-152.2782,AK,665384,1723337
Arizona,34.2744,-111.6602,AZ,113990,295234
Arkansas,34.8938,-92.4426,AR,53179,137732
California,37.1841,-119.4696,CA,163695,423967
Colorado,38.9972,-105.5478,CO,104094,269601
Connecticut,41.6219,-72.7273,CT,5543,14357
Delaware,38.9896,-75.505,DE,2489,6446
District of Columbia,38.9101,-77.0147,DC,68,177
Florida,28.6305,-82.4497,FL,65758,170312
Georgia,32.6415,-83.4426,GA,59425,153910
Hawaii,20.2927,-156.3737,HI,10932,28313
Idaho,44.3509,-114.613,ID,83569,216443
Illinois,40.0417,-89.1965,IL,57914,149995
Indiana,39.8942,-86.2816,IN,36420,94326
Iowa,42.0751,-93.496,IA,56273,145746
Kansas,38.4937,-98.3804,KS,82278,213100
Kentucky,37.5347,-85.3021,KY,40408,104656
Louisiana,31.0689,-91.9968,LA,52378,135659
Maine,45.3695,-69.2428,ME,35380,91633
Maryland,39.055,-76.7909,MD,12406,32131
Massachusetts,42.2596,-71.8083,MA,10554,27336
Michigan,44.3467,-85.4102,MI,96714,250487
Minnesota,46.2807,-94.3053,MN,86936,225163
Mississippi,32.7364,-89.6678,MS,48432,125438
Missouri,38.3566,-92.458,MO,69707,180540
Montana,47.0527,-109.6333,MT,147040,380831
Nebraska,41.5378,-99.7951,NE,77348,200330
Nevada,39.3289,-116.6312,NV,110572,286380
New Hampshire,43.6805,-71.5811,NH,9349,24214
New Jersey,40.1907,-74.6728,NJ,8723,22591
New Mexico,34.4071,-106.1126,NM,121590,314917
New York,42.9538,-75.5268,NY,54555,141297
North Carolina,35.5557,-79.3877,NC,53819,139391
North Dakota,47.4501,-100.4659,ND,70698,183108
Ohio,40.2862,-82.7937,OH,44826,116098
Oklahoma,35.5889,-97.4943,OK,69899,181037
Oregon,43.9336,-120.5583,OR,98379,254799
Pennsylvania,40.8781,-77.7996,PA,46054,119280
Rhode Island,41.6762,-71.5562,RI,1545,4001
South Carolina,33.9169,-80.8964,SC,32020,82933
South Dakota,44.4443,-100.2263,SD,77116,199729
Tennessee,35.858,-86.3505,TN,42144,109153
Texas,31.4757,-99.3312,TX,268596,695662
Utah,39.3055,-111.6703,UT,84897,219882
Vermont,44.0687,-72.6658,VT,9616,24906
Virginia,37.5215,-78.8537,VA,42775,110787
Washington,47.3826,-120.4472,WA,71298,184661
West Virginia,38.6409,-80.6227,WV,24230,62756
Wisconsin,44.6243,-89.9941,WI,65496,169635
Wyoming,42.9957,-107.5512,WY,97813,253335
