State,Location,System,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220,,,,State,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220,,Total,Not_Reported,Good_below95,Fair_95to170,Poor_above170,NotReported_Percent,Good_Percentage,Fair_Percentage,Poor
Alabama,Rural,Interstate,3.338,409.293,103.533,22.363,16.459,8.537,3.388,2.009,1.704,,,,Alabama,42.07674,2979.92911,3711.7374,840.92136,370.85564,179.64429,84.76689,55.20493,80.42089,,8345.55725,42.07674,6691.66651,1211.777,220.39271,0.504181312,80.18238099,14.52002501,2.640838753
Alaska,Rural,Interstate,0,203.573,330.051,151.728,112.55,86.068,49.1,30.043,38.4,,,,Alaska,404.07334,345.40253,554.69625,269.79302,230.47102,196.40644,127.81411,100.79496,207.49656,,2436.94823,404.07334,900.09878,500.26404,436.10563,16.58112122,36.93549042,20.52829986,17.89556399
Arizona,Rural,Interstate,1.513,537.675,223.363,78.487,37.938,16.082,10.968,4.8,5.4,,,,Arizona,293.60551,1449.47925,1329.94206,625.4743,422.39027,257.96466,144.34655,79.2978,65.8954,,4668.3958,293.60551,2779.42131,1047.86457,289.53975,6.289216309,59.53696792,22.44592393,6.20212515
Arkansas,Rural,Interstate,0,234.946,138.771,32.715,15.033,8.524,3.378,2.789,2.734,,,,Arkansas,43.91334,1057.27618,2613.46281,1115.15204,672.14177,468.43696,213.20271,150.61177,138.34223,,6472.53981,43.91334,3670.73899,1787.29381,502.15671,0.678456082,56.71249769,27.61348501,7.758263753
California,Rural,Interstate,8.534,519.824,369.451,143.799,75.642,33.344,16.241,8.239,10.758,,,,California,112.00273,2414.45395,5312.83697,2894.82578,2402.14492,2160.56196,1460.42692,1203.34129,2341.44917,,20302.04369,112.00273,7727.29092,5296.9707,5005.21738,0.551682046,38.06164068,26.09082505,24.65376125
Colorado,Rural,Interstate,0,135.267,288.429,117.222,38.784,24.853,23.217,14.7,5.649,,,,Colorado,292.14165,1062.00364,2904.38163,1573.7595,1022.35657,625.32173,361.36942,247.64241,327.99598,,8416.97253,292.14165,3966.38527,2596.11607,937.00781,3.470863769,47.12365706,30.84382254,11.13236151
Connecticut,Rural,Interstate,0,16.81,6.36,3.06,1.45,0.75,0.1,0.1,0.11,,,,Connecticut,0.27172,292.4386,483.59547,293.03268,227.79225,145.37105,85.16101,54.22419,95.4411,,1677.32807,0.27172,776.03407,520.82493,234.8263,0.016199574,46.26608735,31.0508683,14.00002207
Delaware,Rural,Interstate,0,0,0,0,0,0,0,0,0,,,,Delaware,3.55687,73.9738,240.46048,84.34058,37.76746,21.21473,14.03899,8.1944,17.33128,,500.87859,3.55687,314.43428,122.10804,39.56467,0.71012618,62.77654631,24.37877011,7.89905394
District of Columbia,Rural,Interstate,0,0,0,0,0,0,0,0,0,,,,District of Columbia,0.125,0,3.406,0,18.832,0.133,30.347,0.171,80.847,,133.861,0.125,3.406,18.832,111.365,0.093380447,2.544430417,14.06832461,83.19450774
Florida,Rural,Interstate,0.377,601.498,96.704,6.596,5.507,2.713,1.773,0.873,1.22,,,,Florida,17.56798,3804.53016,4726.75494,1312.67245,559.93011,280.09994,126.21743,83.36378,110.59988,,11021.73667,17.56798,8531.2851,1872.60256,320.18109,0.159393937,77.40418189,16.99008619,2.904996731
