State,Total,Not_Reported,Good_below95,Fair_95to170,Poor_above170,NotReported_Percentage,Good_Percentage,Fair_Percentage,Poor_Percentage
Alabama,8345.55725,42.07674,6691.66651,1211.777,220.39271,0.504181312,80.18238099,14.52002501,2.640838753
Alaska,2436.94823,404.07334,900.09878,500.26404,436.10563,16.58112122,36.93549042,20.52829986,17.89556399
Arizona,4668.3958,293.60551,2779.42131,1047.86457,289.53975,6.289216309,59.53696792,22.44592393,6.20212515
Arkansas,6472.53981,43.91334,3670.73899,1787.29381,502.15671,0.678456082,56.71249769,27.61348501,7.758263753
California,20302.04369,112.00273,7727.29092,5296.9707,5005.21738,0.551682046,38.06164068,26.09082505,24.65376125
Colorado,8416.97253,292.14165,3966.38527,2596.11607,937.00781,3.470863769,47.12365706,30.84382254,11.13236151
Connecticut,1677.32807,0.27172,776.03407,520.82493,234.8263,0.016199574,46.26608735,31.0508683,14.00002207
Delaware,500.87859,3.55687,314.43428,122.10804,39.56467,0.71012618,62.77654631,24.37877011,7.89905394
District of Columbia,133.861,0.125,3.406,18.832,111.365,0.093380447,2.544430417,14.06832461,83.19450774
Florida,11021.73667,17.56798,8531.2851,1872.60256,320.18109,0.159393937,77.40418189,16.99008619,2.904996731
Georgia,12190.23568,1650.0442,8143.70733,1841.1304,284.34236,13.53578588,66.80516722,15.10332079,2.332541941
Hawaii,691.67,1.42,195.169,226.359,167.598,0.205300215,28.21706883,32.72644469,24.23091937
Idaho,3967.99987,340.78243,2654.56765,723.41148,111.87102,8.588267166,66.89938853,18.23113669,2.819330233
Illinois,12318.03017,25.42,6742.78994,3555.59328,1130.71753,0.206364164,54.73919001,28.86495025,9.179369708
Indiana,7427.28897,699.9549,4483.88898,1529.86011,397.29234,9.424096771,60.37046624,20.59782669,5.349089575
Iowa,5125.28376,95.36876,2952.502,1307.477,470.995,1.860750828,57.60660557,25.51033389,9.189637531
Kansas,8673.25457,36.70533,7011.34885,1275.14805,177.65511,0.423201345,80.83873007,14.70207106,2.048309646
Kentucky,5605.21103,64.99903,3847.00026,1290.76068,207.06101,1.159617892,68.63256779,23.02786948,3.694080542
Louisiana,5037.27786,161.20704,2271.19515,1481.47304,692.43044,3.200280876,45.08774805,29.410191,13.74612359
