STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE,CAT10,CAT23,CAT29
10,      1001 279 ,1,4,1,00279,0,01,003,34030,'BRANDYWINE CREEK        ',,'RISING SUN LANE   ','N/W WILMINGTON           ',4.28,0.72,0,,,39460947,075343612,5,3,01,01,17,1928,2,0,3474,2015,6,5.8,0,0,0,0,0,0,0,2,0,0,0,P,5,5,3,10,0,00,1,0,6.1,37.5,39.3,0,1.5,6.1,8.2,4.28,N,0,N,0,0,7,6,6,8,N,3,36.8,3,28.3,6,2,N,2,7,6,35,1,39.3,416,24,Y24,N  ,N  ,0416,,,348,35,522,,,,_              ,0,N,2,,0,0,1979,1,3,0,0,3,0,,Y,7,7157,2036,0,N,3/23/2017,B,A ,,H120,NBIS022,0,14,14,,,2,,69.2,2,F,6,322.26
10,      1001A279 ,1,4,1,00279,0,01,003,34030,'BRANDYWINE CREEK        ',,'RISING SUN LANE   ','N/W WILMINGTON           ',99.99,0.719,0,,,39460836,075343689,5,3,01,01,17,1900,2,0,3474,2015,5,5.8,0,0,0,0,0,0,0,2,0,0,0,A,5,9,8,19,0,00,1,0,7.3,7.6,7.6,0,0,7.3,8.5,99.99,N,0,N,0,0,N,N,N,6,6,0,54.4,0,32.7,6,2,N,5,7,8,35,1,7.6,616,24,N  ,N  ,N  ,,,,78,8,120,,,,,0,N,2,,0,0,1995,N,N,N,N,5,0,,Y,8,7157,2036,0,N,3/23/2017,B,A ,,,,,,,,,2,,77,2,F,6,64.6
10,      1001B009 ,1,3,1,00052,0,01,003,77580,'WATERWAY & ABANDON R.R. ',,'PENNSYLVANIA /SR52','WEST WILMINGTON          ',99.99,8.24,1,0000000009,0,39460370,075350825,3,3,01,01,14,1919,4,0,18173,2014,6,17.7,0,15,0,1,1,1,1,5,0,0,0,A,5,5,9,19,0,00,1,0,17.7,6.3,6.3,1.7,1.7,17.7,23.9,99.99,N,0,N,0,0,N,N,N,7,7,3,64.7,3,38.8,7,5,N,5,8,8,35,1,8.5,316,24,N  ,N  ,N  ,,,,202,20,303,,,,_              ,0,N,2,,1,0,2006,N,N,N,N,8,0,,Y,8,19256,2036,0,N,3/23/2017,B,Z ,,Q100,N009002,0,14,11,,,0,,96.4,0,G,7,150.57
10,      1002 232 ,1,4,1,00232,0,01,003,61590,'BRANDYWINE CREEK        ',,'ROCKLAND RD       ','ROCKLAND                 ',99.99,3.685,0,,,39474915,075343027,10,3,01,01,08,1933,2,0,9205,2015,0,7.4,0,0,0,0,0,0,0,2,0,0,0,A,5,5,3,02,3,02,1,1,7.3,34.3,50.1,1.6,1.6,7.3,11.5,99.99,N,0,N,0,0,7,6,5,8,N,1,51.7,1,30.8,5,2,N,5,8,6,35,1,50,416,24,N  ,N  ,N  ,,,,607,61,910,,,,_              ,0,N,2,,0,0,1993,1,1,0,1,5,0,,Y,8,3100,2036,0,N,3/23/2017,B,A ,,1170,0232001,2,09,12,,,2,,59.6,2,F,5,576.15
10,      1003 225 ,1,3,1,00092,0,01,003,31950,'BRANDYWINE CREEK        ',,'THOMPSON BRIDGE RD','E. OF GUYENCOURT         ',99.99,6.083,0,,,39490118,075341160,8,3,01,01,07,1990,2,0,6814,2015,5,8.8,0,11,0,1,0,0,0,5,0,0,0,A,1,5,5,05,0,00,2,0,13.4,28.4,59.2,0,0,13.4,14.3,99.99,N,0,N,0,0,6,8,6,6,N,3,95.3,3,72.6,6,6,N,5,8,8,,,60,416,24,N  ,N  ,N  ,,,,,,,,,,_              ,0,N,2,,0,0,0,1,1,0,1,5,0,,Y,8,9775,2036,0,N,3/23/2017,B,Z ,,,,,,,,,0,,95.4,0,F,6,846.56
10,      1008 221 ,1,4,1,00221,0,01,003,4450,'TRIB. TO BRANDYWINE     ',,'BRANDYWINE CREEK R','N/E OF CENTERVILLE       ',99.99,4.506,0,,,39500610,075343320,1,3,01,01,09,1960,2,0,2473,2014,5,6.4,0,0,0,0,0,0,1,5,0,0,0,A,1,5,3,02,0,00,1,0,8.5,12.5,13.3,0,0,8.5,9.1,99.99,N,0,N,0,0,7,7,7,6,N,3,63.5,3,48.9,7,4,N,5,7,6,,,,316,24,N  ,N  ,N  ,,,,,,,,,,_              ,0,N,2,,0,0,0,1,6,0,0,9,0,,Y,8,2538,2036,0,N,5/4/2018,B,Z ,,L1CE,2011030,0,14,14,,,0,,88.4,0,G,7,121.03
10,      1009 221 ,1,4,1,00221,0,01,003,4450,'BRANDYWINE CREEK        ',,'SMITH BRIDGE RD   ','N. OF BRANDYWINE CREEK SP',3.91,4.04,0,,,39501584,075344477,7,3,01,01,19,1839,1,0,2701,2015,6,7,0,0,0,0,1,0,0,5,0,0,0,A,1,5,4,02,0,00,3,0,4.6,13.7,43.6,0,0,4.6,5.2,3.91,N,0,N,0,0,7,6,7,7,N,1,99.9,1,90.6,6,2,N,5,8,4,35,1,43.6,217,24,N  ,N  ,N  ,,,,243,24,365,,,,_              ,0,N,3,,0,0,2002,8,7,0,N,7,0,,Y,7,2545,2037,0,N,5/4/2018,B,A ,,Q100,N221001,0,14,14,,,2,,73.8,2,F,6,226.72
10,      1011N267 ,1,3,1,00141,0,01,003,6960,'ROCKLAND ROAD           ',,'POWDER MILL/SR141 ','N/W OF BLUEBALL          ',99.99,3.38,1,0000000267,0,39470345,075333013,2,3,01,01,14,1997,2,2,26105,2015,9,11.9,0,18,0,1,N,N,0,5,N,0,0,A,5,1,1,07,0,00,1,0,11.6,16.5,17.7,0,2.4,11.6,15.5,99.99,H,4.67,H,2.5,0,6,6,7,N,N,1,90.6,1,65.9,6,7,5,5,N,8,,,,217,24,N  ,N  ,N  ,,,,,,,,,,_              ,0,R,1,,1,0,0,2,3,0,1,6,0,,Y,N,13201,2037,0,N,5/4/2018,B,Z ,,,,,,,,,0,,96.5,0,F,6,274.35
10,      1011S267 ,1,3,1,00141,0,01,003,6960,'ROCKLAND ROAD           ',,'SR141S/POWDER MILL','N/W OF BLUEBALL          ',99.99,5.568,1,0000000267,0,39470403,075333065,2,3,01,01,14,1997,2,2,10424,2015,9,11,0,18,0,1,N,N,0,5,N,0,0,A,5,1,1,07,0,00,1,0,11.6,16.5,17.7,0,0,11.6,12.8,99.99,H,5.03,H,2.4,0,5,5,7,N,N,1,90.6,1,65.9,5,7,5,5,N,8,,,,217,24,N  ,N  ,N  ,,,,,,,,,,0              ,0,L,1,,1,0,0,2,3,0,1,6,0,,Y,N,14261,2037,0,N,5/4/2018,B,Z ,,,,,,,,,0,,85.9,0,F,5,226.56
10,      1014 221 ,1,4,1,00221,0,01,003,4450,'TRIB. TO BRANDYWINE CRK ',,'BEAVER DAM RD.    ','N/E OF CENTERVILLE       ',99.99,4.86,0,,,39501411,075342397,1,3,01,01,09,1962,2,0,2473,2014,5,7.3,0,5,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,3,0,8.5,3,9.6,0,0,8.5,10.1,99.99,N,0,N,0,0,N,N,N,5,7,1,83.5,1,49.9,7,4,N,5,7,7,,,,216,24,N  ,N  ,N  ,,,,,,,,,,_              ,0,N,2,,0,0,0,1,6,0,0,9,0,,Y,8,661,2036,0,N,3/23/2017,B,Z ,,,,,,,,,0,,87.4,0,G,7,96.96
10,      1016 221 ,1,4,1,00221,0,01,003,4450,'BEAVER VALLEY CREEK     ',,'BEAVER DAM RD.    ','N/E OF CENTERVILLE       ',99.99,5.08,0,,,39502008,075341846,1,3,01,01,09,1988,2,0,1630,2014,6,7.4,0,55,0,1,0,0,0,5,0,0,0,A,1,5,1,19,0,00,2,0,7.9,3.7,7.5,0,0,7.9,8.7,99.99,N,0,N,0,0,N,N,N,7,6,1,99.9,1,66.2,6,4,N,5,7,8,33,1,7.5,216,24,N  ,N  ,N  ,,,,175,18,263,,,,_              ,0,N,2,,0,0,0,1,6,0,0,9,0,,Y,8,2538,2036,0,N,5/4/2018,B,Z ,,,,,,,,,0,,84.7,0,F,6,65.25
