,Year,Crash Descriptor,Date,Municipality,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Road Surface Conditions,Event Descriptor,Number of Vehicles Involved
22,2014,Property Damage & Injury Accident,2014-01-02,MT. MORRIS,OTHER,LIVINGSTON,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
24,2014,Property Damage Accident,2014-01-04,YORK,OTHER,LIVINGSTON,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
31,2015,Property Damage Accident,2015-01-03,FLORIDA,OTHER,MONTGOMERY,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
32,2015,Property Damage Accident,2015-01-04,AMSTERDAM,OTHER,MONTGOMERY,Straight and Level,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
79,2015,Property Damage & Injury Accident,2015-01-03,CLARKSON,OTHER,MONROE,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
91,2015,Property Damage Accident,2015-01-03,LANSING,OTHER,TOMPKINS,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
92,2015,Property Damage Accident,2015-01-03,GROTON,OTHER,TOMPKINS,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
102,2015,Property Damage Accident,2015-01-04,FULTON,OTHER,SCHOHARIE,Curve and Level,Fog/Smog/Smoke,Slush,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
103,2015,Property Damage Accident,2015-01-04,MIDDLEBURG,OTHER,SCHOHARIE,Curve and Grade,Fog/Smog/Smoke,Slush,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
106,2015,Property Damage Accident,2015-01-03,ELLERY,OTHER,CHAUTAUQUA,Straight and Grade,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
107,2015,Property Damage & Injury Accident,2015-01-03,FRENCH CREEK,OTHER,CHAUTAUQUA,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
143,2015,Property Damage & Injury Accident,2015-01-01,EAST BLOOMFIELD,OTHER,ONTARIO,Curve at Hill Crest,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
146,2015,Property Damage Accident,2015-01-04,STONY POINT,OTHER,ROCKLAND,Curve at Hill Crest,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
156,2015,Property Damage Accident,2015-01-03,RICHFORD,OTHER,TIOGA,Straight and Grade,Snow,Slush,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
160,2015,Property Damage Accident,2015-01-03,AURORA,OTHER,ERIE,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
164,2015,Property Damage & Injury Accident,2015-01-01,ORCHARD PARK,OTHER,ERIE,Straight and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
174,2015,Property Damage Accident,2015-01-03,ROME,OTHER,ONEIDA,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
177,2015,Property Damage Accident,2015-01-03,HINSDALE,OTHER,CATTARAUGUS,Straight and Level,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
182,2015,Property Damage Accident,2015-01-02,NORTHUMBERLAND,OTHER,SARATOGA,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
188,2015,Property Damage Accident,2015-01-04,BOMBAY,OTHER,FRANKLIN,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
192,2015,Property Damage Accident,2015-01-03,MILFORD,OTHER,OTSEGO,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
193,2015,Property Damage & Injury Accident,2015-01-03,COVENTRY,OTHER,CHENANGO,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
195,2015,Property Damage & Injury Accident,2015-01-03,MCDONOUGH,OTHER,CHENANGO,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
196,2015,Property Damage Accident,2015-01-03,SIDNEY,OTHER,DELAWARE,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
197,2015,Property Damage Accident,2015-01-03,NORTH NORWICH,OTHER,CHENANGO,Straight and Level,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
199,2015,Property Damage Accident,2015-01-03,NEW BERLIN,OTHER,CHENANGO,Curve and Grade,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
207,2015,Property Damage Accident,2015-01-03,SCHUYLER,OTHER,HERKIMER,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
244,2015,Property Damage Accident,2015-01-03,MARION,OTHER,WAYNE,Curve and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
251,2015,Property Damage Accident,2015-01-03,NEWBURGH,OTHER,ORANGE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
263,2015,Property Damage Accident,2015-01-03,HALFMOON,OTHER,SARATOGA,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
264,2015,Property Damage & Injury Accident,2015-01-03,CLIFTON PARK,OTHER,SARATOGA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
276,2015,Injury Accident,2015-01-03,ELLINGTON,OTHER,CHAUTAUQUA,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
287,2015,Property Damage Accident,2015-01-02,SCHROEPPEL,OTHER,OSWEGO,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
288,2015,Property Damage Accident,2015-01-03,MINETTO,OTHER,OSWEGO,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
298,2015,Property Damage & Injury Accident,2015-01-03,FLORIDA,OTHER,MONTGOMERY,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
300,2015,Property Damage Accident,2015-01-03,SCHOHARIE,OTHER,SCHOHARIE,Curve at Hill Crest,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
302,2015,Property Damage & Injury Accident,2015-01-03,MAINE,OTHER,BROOME,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
309,2015,Property Damage & Injury Accident,2015-01-03,DEERPARK,OTHER,ORANGE,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
336,2015,Property Damage & Injury Accident,2015-01-01,WALLKILL,OTHER,ORANGE,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
347,2015,Property Damage & Injury Accident,2015-01-03,WHEATFIELD,OTHER,NIAGARA,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
433,2015,Property Damage Accident,2015-01-05,CRAWFORD,OTHER,ORANGE,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
520,2015,Property Damage & Injury Accident,2015-01-03,ROTTERDAM,OTHER,SCHENECTADY,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
524,2015,Property Damage & Injury Accident,2015-01-03,VARICK,OTHER,SENECA,Curve and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
526,2015,Property Damage & Injury Accident,2015-01-03,COVERT,OTHER,SENECA,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
530,2015,Property Damage Accident,2015-01-03,COVERT,OTHER,SENECA,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
545,2015,Property Damage & Injury Accident,2015-01-03,MARLBOROUGH,OTHER,ULSTER,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
561,2015,Property Damage Accident,2015-01-04,BERNE,OTHER,ALBANY,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
563,2015,Property Damage Accident,2015-01-03,VOORHEESVILLE,OTHER,ALBANY,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
564,2015,Property Damage Accident,2015-01-03,FRANKLIN,OTHER,DELAWARE,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
566,2015,Property Damage Accident,2015-01-03,WALTON,OTHER,DELAWARE,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
571,2015,Property Damage Accident,2015-01-03,MILAN,OTHER,DUTCHESS,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
609,2015,Property Damage Accident,2015-01-03,VESTAL,OTHER,BROOME,Straight and Level,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
619,2015,Property Damage & Injury Accident,2015-01-02,NEW HARTFORD,OTHER,ONEIDA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
621,2015,Property Damage Accident,2015-01-05,AURORA,OTHER,ERIE,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
623,2015,Property Damage Accident,2015-01-05,AURORA,OTHER,ERIE,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
636,2015,Property Damage & Injury Accident,2015-01-05,WEST SENECA,OTHER,ERIE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
644,2015,Property Damage & Injury Accident,2015-01-05,DANSVILLE,OTHER,LIVINGSTON,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
652,2015,Property Damage & Injury Accident,2015-01-01,MARSHALL,OTHER,ONEIDA,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
