State,Location,System,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220
Alabama,Rural,Interstate,3.338,409.293,103.533,22.363,16.459,8.537,3.388,2.009,1.704
Alaska,Rural,Interstate,0,203.573,330.051,151.728,112.55,86.068,49.1,30.043,38.4
Arizona,Rural,Interstate,1.513,537.675,223.363,78.487,37.938,16.082,10.968,4.8,5.4
Arkansas,Rural,Interstate,0,234.946,138.771,32.715,15.033,8.524,3.378,2.789,2.734
California,Rural,Interstate,8.534,519.824,369.451,143.799,75.642,33.344,16.241,8.239,10.758
Colorado,Rural,Interstate,0,135.267,288.429,117.222,38.784,24.853,23.217,14.7,5.649
Connecticut,Rural,Interstate,0,16.81,6.36,3.06,1.45,0.75,0.1,0.1,0.11
Delaware,Rural,Interstate,0,0,0,0,0,0,0,0,0
District of Columbia,Rural,Interstate,0,0,0,0,0,0,0,0,0
Florida,Rural,Interstate,0.377,601.498,96.704,6.596,5.507,2.713,1.773,0.873,1.22
Georgia,Rural,Interstate,0,214.577,223.914,56.558,23.246,9.011,5.784,2.094,2.138
Hawaii,Rural,Interstate,0,0,0,0,0,0,0,0,0
Idaho,Rural,Interstate,0.727,308.858,152.107,32.245,15.681,7.481,2.623,1.031,2.001
Illinois,Rural,Interstate,0,740.59,364.81,76.14,30.93,17.23,6.27,3.65,3.72
Indiana,Rural,Interstate,13.09,433.022,189.412,65.243,30.644,18.953,12.678,8.986,12.402
Iowa,Rural,Interstate,26.207,287.79,205.223,56.687,22.419,6.877,2.834,1.562,1.867
Kansas,Rural,Interstate,0,391.485,179.232,43.554,15.794,6.3,1.873,0.8,0.392
Kentucky,Rural,Interstate,2.461,503.526,136.936,32.204,18.5,10.228,3.666,1.496,2.146
Louisiana,Rural,Interstate,6.576,192.94,133.83,87.291,64.809,29.362,11.384,4.1,2.2
Maine,Rural,Interstate,0,154.41,75.86,25.99,13.46,5.88,1.88,1.2,0.6
Maryland,Rural,Interstate,0,66.238,56.658,11.481,4.651,1.483,0.456,0.454,0.715
Massachusetts,Rural,Interstate,0,34.158,21.626,4.23,2.2,0.9,0.267,0.5,0.4
Michigan,Rural,Interstate,4.227,181.693,237.572,66.586,33.89,19.554,9.399,5.956,3.453
Minnesota,Rural,Interstate,0.015,192.044,294.869,50.093,29.134,10.913,4.797,3.313,2.904
Mississippi,Rural,Interstate,0,386.796,115.478,30.706,21.576,13.443,6.018,2.31,2.11
Missouri,Rural,Interstate,0,584.668,199.827,30.888,14.163,6.936,3.4,1.151,0.5
Montana,Rural,Interstate,0,573.324,397.474,67.5,29.047,14.14,5.4,3.2,4.4
Nebraska,Rural,Interstate,2.81,212.84,145.33,25.47,15.25,8.6,2.8,0.6,0.9
Nevada,Rural,Interstate,7.143,399.975,28.055,10.3,2.9,3.4,3.4,1,0.5
New Hampshire,Rural,Interstate,0,112.033,24,3.828,1.6,0.5,0,0,0
New Jersey,Rural,Interstate,0,17.1,22.55,3.31,1,0.07,0.35,0.5,0
New Mexico,Rural,Interstate,0,561.449,175.857,54.64,27.248,13.892,5.347,2.31,2.593
New York,Rural,Interstate,10.96,316.42,304.87,85.45,44.49,19.37,8.05,5.83,8.32
North Carolina,Rural,Interstate,0.641,386.114,122.836,22.787,15.161,7.191,4.009,1.561,0.49
North Dakota,Rural,Interstate,0,252.762,203.956,36.687,10.485,3.416,1.226,0.9,0.3
Ohio,Rural,Interstate,0,346.1,195.524,55.788,22.909,12.178,5.034,2.451,2.547
Oklahoma,Rural,Interstate,1.297,285.815,260.639,48.634,23.54,13.128,5.919,4.685,2.76
Oregon,Rural,Interstate,0,279.93,158.05,37.06,12.75,4.27,1.26,1.17,0.69
Pennsylvania,Rural,Interstate,0,518.984,364.954,89.359,55.553,20.466,8.722,7.752,8.644
Rhode Island,Rural,Interstate,0,15.043,2.156,0.42,0.08,0.021,0.032,0.013,0.078
South Carolina,Rural,Interstate,0,359.77,132.389,29.88,13.84,6.365,2.297,1.25,0.5
South Dakota,Rural,Interstate,0,218.611,313.169,35.867,13.421,6.149,2.615,1.2,0
Tennessee,Rural,Interstate,0.02,518.603,91.86,14.415,10.068,5.445,2.063,1.5,0.22
Texas,Rural,Interstate,1.058,894.229,820.74,180.584,62.355,27.074,8.454,3.6,2.634
Utah,Rural,Interstate,0,377.945,235.753,51.717,10.714,4.855,1.6,0.8,0.5
Vermont,Rural,Interstate,0.586,175.873,60.092,10.8,5.9,1.8,0.5,0.2,0.219
Virginia,Rural,Interstate,0,271.93,267.66,39.553,11.204,5.617,1.07,0.394,0.362
Washington,Rural,Interstate,0,170.39,144.9,41.09,27.76,18.14,9.63,8.01,9.07
West Virginia,Rural,Interstate,0.3,159.096,110.502,23.528,11.771,6.203,4.415,1.307,2.23
Wisconsin,Rural,Interstate,0,247.04,136.19,45.67,42.04,23.41,8.13,5.62,4.23
Wyoming,Rural,Interstate,0,482.567,210.748,62.094,27.825,13.848,5.42,2.25,2.722
Alabama,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Alaska,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Arizona,Rural,Other Freeways & Expressways,0,17,0.215,0.1,0.1,0.189,0,0,0
Arkansas,Rural,Other Freeways & Expressways,0,2.171,25.086,19.1,12.78,7.4,3.902,1.2,0.397
California,Rural,Other Freeways & Expressways,3.8,114.298,156.641,44.582,23.104,14.474,7.112,3.234,2.211
Colorado,Rural,Other Freeways & Expressways,0,5.735,10.571,7.169,3.7,0.596,0.256,0.1,0
Connecticut,Rural,Other Freeways & Expressways,0,15.06,15.36,1.95,1.79,0.68,0.38,0.3,0
Delaware,Rural,Other Freeways & Expressways,0.06,1.2,8.48,4.2,1.95,0.62,0.93,0.2,0
District of Columbia,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Florida,Rural,Other Freeways & Expressways,0.223,75.177,87.095,8.034,2.166,1.446,0.8,0.6,0.4
Georgia,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Hawaii,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Idaho,Rural,Other Freeways & Expressways,53.216,22.118,26.398,5.839,2.186,0.837,0.64,0.236,0.05
Illinois,Rural,Other Freeways & Expressways,0,3.69,14.82,19,5.53,3.29,1,0.74,0.21
Indiana,Rural,Other Freeways & Expressways,0.269,48.503,44.905,20.329,17.118,8.357,3.662,1.254,1.966
Iowa,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Kansas,Rural,Other Freeways & Expressways,0,162.76,190.584,33.072,12.076,3.9,1.242,0.5,0.129
Kentucky,Rural,Other Freeways & Expressways,0.509,242.918,117.188,20.132,7.937,5.28,2.257,0.712,0.875
Louisiana,Rural,Other Freeways & Expressways,0.228,0.9,7.52,5.5,5.514,2.012,1.669,0.6,0.4
Maine,Rural,Other Freeways & Expressways,0,0,0.55,0.12,0.2,0,0,0,0.06
Maryland,Rural,Other Freeways & Expressways,0.031,40.208,22.707,3.5,1.012,0.602,0.228,0.665,0.539
Massachusetts,Rural,Other Freeways & Expressways,0,3.958,5.326,0.6,0.26,0,0.1,0,0.2
Michigan,Rural,Other Freeways & Expressways,0,195.962,102.464,24.527,8.909,3.822,4.729,1.923,1.162
Minnesota,Rural,Other Freeways & Expressways,0,15.422,12.641,3.467,1.194,0.468,0.404,0.1,0.1
Mississippi,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Missouri,Rural,Other Freeways & Expressways,0,584.388,416.305,81.839,27.125,9.997,3.174,1.494,1.164
Montana,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Nebraska,Rural,Other Freeways & Expressways,19,66.32,125.67,59.13,30.23,15.05,9.19,3.99,3
Nevada,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
New Hampshire,Rural,Other Freeways & Expressways,0,8.671,0.553,0,0,0,0,0,0
New Jersey,Rural,Other Freeways & Expressways,0,7.91,19,4.62,2.22,1.2,0,0.3,0.2
New Mexico,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
New York,Rural,Other Freeways & Expressways,3.24,24.42,83.55,31.49,20.47,10.26,4.06,2.23,1.19
North Carolina,Rural,Other Freeways & Expressways,0.49,226.092,146.817,24.747,9.318,6.717,2.355,0.983,2.154
North Dakota,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Ohio,Rural,Other Freeways & Expressways,0,132.207,135.186,41.819,14.459,6.492,2.407,0.7,1.221
Oklahoma,Rural,Other Freeways & Expressways,0,0.1,0.901,0,0.2,0.2,0.2,0.1,0.4
Oregon,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Pennsylvania,Rural,Other Freeways & Expressways,0,112.007,158.651,38.232,14.759,9.401,6.568,4.641,5.954
Rhode Island,Rural,Other Freeways & Expressways,0,3.9,1.707,2,2.005,0.9,0,0.2,0.1
South Carolina,Rural,Other Freeways & Expressways,0,10.085,26.653,4.055,3.121,0.2,0.35,0.1,0
South Dakota,Rural,Other Freeways & Expressways,0,107.865,103.073,47.225,21.838,6.558,2.395,1.525,0.328
Tennessee,Rural,Other Freeways & Expressways,0,9.031,5,0.23,0.117,0,0,0,0
Texas,Rural,Other Freeways & Expressways,0.8,45.52,48.758,21.406,5.828,3.447,1.2,0.5,0.3
Utah,Rural,Other Freeways & Expressways,0,0.348,3.8,3,1.011,0.6,0.2,0,0
Vermont,Rural,Other Freeways & Expressways,0,0,0.595,1.09,0,0,0,0,0
Virginia,Rural,Other Freeways & Expressways,0.162,19.488,58.354,10.769,2.386,0.744,0.342,0.124,0.041
Washington,Rural,Other Freeways & Expressways,0,138.89,295.23,87.86,32.39,17.98,14.15,10.01,15.62
West Virginia,Rural,Other Freeways & Expressways,0,0,0.108,0.2,0,0.13,0,0,0.018
Wisconsin,Rural,Other Freeways & Expressways,0,54.76,55.53,43.35,24.33,15.77,5.98,2.08,1.56
Wyoming,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Alabama,Rural,Other Principal Arterial,3.653,964.143,812.668,137.734,51.035,27.777,12.45,8.404,10.823
Alaska,Rural,Other Principal Arterial,320.561,60.021,105.969,45.953,45.059,45.609,35.09,32.921,108.068
Arizona,Rural,Other Principal Arterial,43.19,385.168,398.051,165.611,103.662,58.459,28.246,15.683,12.84
Arkansas,Rural,Other Principal Arterial,0.116,353.684,823.875,322.016,185.981,100.097,45.522,25.053,20.578
California,Rural,Other Principal Arterial,31.89,851.281,1368.049,474.586,236.877,128.435,65.548,46.705,60.555
Colorado,Rural,Other Principal Arterial,0,600.39,1128.422,438.121,203.814,103.373,50.465,26.265,17.893
Connecticut,Rural,Other Principal Arterial,0,9.9,49.61,28.55,17.28,8.27,4.19,2.6,1.67
Delaware,Rural,Other Principal Arterial,1.54,23.47,56.53,12.98,3.15,1.5,0.2,0.29,0.1
District of Columbia,Rural,Other Principal Arterial,0,0,0,0,0,0,0,0,0
Florida,Rural,Other Principal Arterial,0.653,1018.572,1197.574,265.624,84.131,32.639,9.253,4.678,3.922
Georgia,Rural,Other Principal Arterial,133.728,805.202,1078.895,264.241,94.874,44.678,15.239,7.39,8.243
