Code,Description,Bridge Condition Detail
10,Not Applicable,
9,Excellent Condition,
8,Very Good Condition,no problems noted.
7,Good Condition ,some minor problems.
6,Satisfactory Condition,structural elements show some minor deterioration.
5,Fair Condition,"all primary structural elements are sound but may have minor section loss, cracking, spalling or scour."
4,Poor Condition,"advanced section loss, deterioration, spalling or scour."
3,Serious Condition,"loss of section, deterioration of primary structural elements.  Fatigue cracks in steel or shear cracks in concrete may be present. "
2,Critical Condition,advanced deterioration of primary structural elements.  Fatigue cracks in steel or shear cracks in concrete may be present or scour may have removed substructure support.  Unless closely monitored it may be necessary to close the bridge until corrective action is taken.
1,Imminant Failure Condition,major deterioration or section loss present in critical sructural components or obvious vertical or horizontal movement affecting structure stability.  Bridge is closed to traffic but corrective action may put it back in light service.
0,Failed Condition,out of service; beyond corrective action.
