State,Tunnel Number,Element Number,EPN,Total Quantity,Condition State 1,Condition State 2,Condition State 3,Condition State 4
1,26,10001,,"57,842","55,407","1,796",639,0
1,26,10005,,274,274,0,0,0
1,26,10011,,"2,180","1,872",207,101,0
1,26,10021,,82,48,20,14,0
1,26,10041,,832,806,26,0,0
1,26,10049,,"8,807","8,741",16,50,0
1,26,10051,,481,474,6,1,0
1,26,10111,,"10,777","9,047","1,730",0,0
1,26,10158,,"22,873","22,873",0,0,0
1,26,10300,,1,0,1,0,0
1,26,10500,,1,0,0,1,0
1,26,10600,,1,0,1,0,0
1,26,10601,,116,16,63,34,3
1,2370,10000,,"170,791","170,414",377,0,0
1,2370,10001,,"34,823","21,839",0,"12,984",0
1,2370,10002,,"94,709","94,709",0,0,0
1,2370,10051,,"1,632","1,607",23,2,0
1,2370,10101,,"47,103","44,800","2,258",3,42
1,2370,10111,,"27,192","27,192",0,0,0
1,2370,10159,,"65,289",0,"65,289",0,0
1,2370,10161,,"6,218","5,142","1,055",21,0
1,2370,10170,,"3,109","3,060",48,0,1
1,2370,10200,,1,0,1,0,0
1,2370,10201,,3,0,3,0,0
1,2370,10300,,4,0,3,1,0
1,2370,10301,,8,6,2,0,0
1,2370,10400,,1,0,1,0,0
1,2370,10475,,1,1,0,0,0
1,2370,10500,,2,2,0,0,0
1,2370,10550,,1,1,0,0,0
1,2370,10600,,1,0,0,1,0
1,2370,10601,,671,575,16,0,80
1,2370,10620,,1,0,0,1,0
1,2370,10650,,1,0,0,1,0
1,2370,10700,,1,0,0,1,0
1,2370,10750,,1,0,1,0,0
1,2370,10800,,1,0,1,0,0
1,2370,10890,,2,2,0,0,0
1,2370,10910,,9,5,4,0,0
1,2370,10911,,9,0,9,0,0
1,2370,10952,10000,"211,638","211,391",0,219,28
1,10851,10000,,"285,343","281,301",0,"4,042",0
1,10851,10001,,"121,089","121,089",0,0,0
1,10851,10031,,40,40,0,0,0
1,10851,10055,,"4,260","4,256",4,0,0
1,10851,10101,,"133,900","111,772","20,908","1,220",0
1,10851,10111,,"80,763","80,763",0,0,0
1,10851,10132,,720,314,88,280,38
1,10851,10158,,"156,000",0,"155,982",17,1
1,10851,10161,,"12,000","11,427",526,47,0
1,10851,10179,,"12,000","10,689",492,819,0
1,10851,10200,,1,0,1,0,0
1,10851,10201,,12,8,4,0,0
1,10851,10300,,3,0,3,0,0
1,10851,10301,,25,22,0,3,0
1,10851,10400,,1,0,1,0,0
1,10851,10500,,1,0,1,0,0
1,10851,10550,,1,0,1,0,0
1,10851,10600,,1,0,1,0,0
1,10851,10601,,"1,236","1,223",11,2,0
1,10851,10620,,1,0,1,0,0
1,10851,10650,,1,0,0,1,0
1,10851,10700,,1,0,0,1,0
1,10851,10750,,1,0,1,0,0
1,10851,10800,,1,0,1,0,0
1,10851,10910,,18,0,11,7,0
1,10851,10911,,48,0,41,7,0
1,10851,10952,10000,"370,530","369,868",0,662,0
1,14274,10000,,"23,688","23,184",504,0,0
1,14274,10051,,262,262,0,0,0
1,14274,10158,,"5,076","5,064",12,0,0
1,14274,10500,,1,0,0,0,1
1,14274,10600,,1,0,0,1,0
1,14274,10601,,80,26,28,8,18
1,14274,10950,10000,"23,688","23,684",4,0,0
2,1130,10003,,"15,532",0,"15,472",60,0
2,1130,10051,,"1,152",0,576,576,0
2,1130,10158,,"5,723",0,"5,723",0,0
2,1130,10161,,294,0,294,0,0
2,1130,10170,,294,258,36,0,0
2,1130,10500,,1,1,0,0,0
2,1130,10600,,1,0,1,0,0
2,1130,10601,,7,7,0,0,0
2,1963,10003,,"35,360",0,"35,335",25,0
2,1963,10051,,"4,936","4,926",0,10,0
